chemical,map
CID-44340640,60462
CID-76319327,60463
CID-13499360,60464
CID-21951710,60465
CID-54582134,60466
CID-140956,60467
CID-6914,60468
CID-91049873,60469
CID-24949244,60470
CID-527271,60471
CID-10590126,60472
CID-189924,60473
CID-128630,60474
CID-11351088,60475
CID-46935150,60476
CID-18669080,60477
CID-11778126,60478
CID-24854271,60479
CID-11341322,60480
CID-11397777,60481
CID-229371,60482
CID-122653,60483
CID-128807,60484
CID-162465,60485
CID-150641,60486
CID-45139236,60487
CID-33711,60488
CID-22344,60489
CID-3524,60490
CID-54445082,60491
CID-23903049,60492
CID-45375871,60493
CID-41,60494
CID-71764612,60495
CID-688861,60496
CID-44430710,60497
CID-166621,60498
CID-16155294,60499
CID-10454918,60500
CID-442229,60501
CID-25118862,60502
CID-20738182,60503
CID-44291775,60504
CID-44404470,60505
CID-5073005,60506
CID-197071,60507
CID-10397387,60508
CID-16223643,60509
CID-188869,60510
CID-46231441,60511
CID-58994566,60512
CID-10855603,60513
CID-16086005,60514
CID-5288099,60515
CID-25129112,60516
CID-24885664,60517
CID-10452463,60518
CID-37907,60519
CID-75712,60520
CID-42625304,60521
CID-598190,60522
CID-91966,60523
CID-5248659,60524
CID-6449900,60525
CID-17794400,60526
CID-71254306,60527
CID-70694389,60528
CID-112005,60529
CID-9822024,60530
CID-6330484,60531
CID-91208529,60532
CID-24199,60533
CID-24894137,60534
CID-197555,60535
CID-16147483,60536
CID-44583804,60537
CID-18931096,60538
CID-68498715,60539
CID-441209,60540
CID-11205788,60541
CID-73379,60542
CID-3115280,60543
CID-4046,60544
CID-11656780,60545
CID-8841,60546
CID-18407794,60547
CID-18792868,60548
CID-66789,60549
CID-25119406,60550
CID-821433,60551
CID-165628,60552
CID-44602421,60553
CID-9874175,60554
CID-185262,60555
CID-3082253,60556
CID-49865107,60557
CID-16156649,60558
CID-44381515,60559
CID-9961835,60560
CID-131033,60561
CID-20519006,60562
CID-3034372,60563
CID-76566,60564
CID-44586820,60565
CID-107710,60566
CID-68629165,60567
CID-3004582,60568
CID-71699138,60569
CID-11537442,60570
CID-19100189,60571
CID-46861819,60572
CID-10949143,60573
CID-44177373,60574
CID-18782542,60575
CID-100664,60576
CID-91034134,60577
CID-62350,60578
CID-13877843,60579
CID-25022640,60580
CID-71461841,60581
CID-91354511,60582
CID-16126723,60583
CID-441870,60584
CID-8358,60585
CID-676413,60586
CID-5491513,60587
CID-10917920,60588
CID-44579941,60589
CID-16682,60590
CID-90771596,60591
CID-71862,60592
CID-280861,60593
CID-162317,60594
CID-44583696,60595
CID-6440427,60596
CID-90915250,60597
CID-521891,60598
CID-10030422,60599
CID-91350004,60600
CID-119603,60601
CID-96268,60602
CID-572,60603
CID-44300917,60604
CID-50904886,60605
CID-107693,60606
CID-10387325,60607
CID-138198,60608
CID-49799161,60609
CID-152221,60610
CID-17217687,60611
CID-6455445,60612
CID-264,60613
CID-342803,60614
CID-11228149,60615
CID-91111034,60616
CID-11298534,60617
CID-9927224,60618
CID-91351204,60619
CID-9605,60620
CID-46886410,60621
CID-107441,60622
CID-59262421,60623
CID-11780114,60624
CID-3080866,60625
CID-11829911,60626
CID-11744896,60627
CID-69758530,60628
CID-21261,60629
CID-2162,60630
CID-45100506,60631
CID-13263,60632
CID-10221761,60633
CID-130034,60634
CID-57398982,60635
CID-18930017,60636
CID-10392865,60637
CID-90803050,60638
CID-11037972,60639
CID-50990930,60640
CID-22317918,60641
CID-91259602,60642
CID-44392212,60643
CID-23646291,60644
CID-2762599,60645
CID-282653,60646
CID-181302,60647
CID-11154496,60648
CID-3024150,60649
CID-89728,60650
CID-233916,60651
CID-12447,60652
CID-7778,60653
CID-92885,60654
CID-8723,60655
CID-21145765,60656
CID-5276853,60657
CID-141040,60658
CID-91245704,60659
CID-89112861,60660
CID-46226898,60661
CID-2331,60662
CID-56595710,60663
CID-39174,60664
CID-161189,60665
CID-72193889,60666
CID-219077,60667
CID-3351,60668
CID-10349559,60669
CID-13945932,60670
CID-2761814,60671
CID-448170,60672
CID-88709,60673
CID-22140534,60674
CID-46884825,60675
CID-44160248,60676
CID-1764763,60677
CID-44283250,60678
CID-23505,60679
CID-25110682,60680
CID-10130339,60681
CID-99049,60682
CID-76283486,60683
CID-13411738,60684
CID-12426124,60685
CID-16755781,60686
CID-381595,60687
CID-10431614,60688
CID-58064480,60689
CID-136232,60690
CID-90941951,60691
CID-44129133,60692
CID-2277,60693
CID-11018025,60694
CID-44306787,60695
CID-53324198,60696
CID-12982912,60697
CID-147486,60698
CID-93233,60699
CID-639681,60700
CID-3050664,60701
CID-123789,60702
CID-46884462,60703
CID-53440180,60704
CID-3195,60705
CID-18607221,60706
CID-44420023,60707
CID-2761033,60708
CID-146351,60709
CID-44423907,60710
CID-11712931,60711
CID-44380952,60712
CID-71584212,60713
CID-54684696,60714
CID-44579271,60715
CID-17750858,60716
CID-3573,60717
CID-135101,60718
CID-74888431,60719
CID-98221,60720
CID-11855,60721
CID-15247612,60722
CID-90655803,60723
CID-46864003,60724
CID-25191745,60725
CID-126249,60726
CID-620790,60727
CID-129914,60728
CID-11599135,60729
CID-5359662,60730
CID-447049,60731
CID-44459623,60732
CID-74217,60733
CID-71590731,60734
CID-11083961,60735
CID-7167,60736
CID-44351519,60737
CID-18760,60738
CID-392789,60739
CID-11958915,60740
CID-3833418,60741
CID-60155029,60742
CID-44378842,60743
CID-56666128,60744
CID-91032628,60745
CID-129388,60746
CID-10249423,60747
CID-24875263,60748
CID-71627228,60749
CID-14583754,60750
CID-276572,60751
CID-14276,60752
CID-46913908,60753
CID-11277788,60754
CID-4543,60755
CID-15892656,60756
CID-127861,60757
CID-446570,60758
CID-125210,60759
CID-76851472,60760
CID-46901417,60761
CID-44583958,60762
CID-15380822,60763
CID-70992,60764
CID-46232891,60765
CID-6070,60766
CID-54589404,60767
CID-45112556,60768
CID-158603,60769
CID-19428470,60770
CID-3036956,60771
CID-16086606,60772
CID-74761,60773
CID-18617,60774
CID-4961254,60775
CID-16006605,60776
CID-15689733,60777
CID-11049487,60778
CID-40115,60779
CID-10245773,60780
CID-9800211,60781
CID-9827982,60782
CID-151107,60783
CID-23724738,60784
CID-12224209,60785
CID-6443590,60786
CID-44418382,60787
CID-9886917,60788
CID-23656476,60789
CID-44542745,60790
CID-11192816,60791
CID-6537488,60792
CID-45479238,60793
CID-46703928,60794
CID-511713,60795
CID-88385,60796
CID-10228855,60797
CID-45269820,60798
CID-24806681,60799
CID-76311098,60800
CID-72737383,60801
CID-44520886,60802
CID-10382003,60803
CID-643547,60804
CID-179370,60805
CID-126597,60806
CID-123061,60807
CID-85702991,60808
CID-2775120,60809
CID-2736743,60810
CID-11404886,60811
CID-21809741,60812
CID-3647,60813
CID-44576171,60814
CID-131572,60815
CID-87959728,60816
CID-5316667,60817
CID-18468788,60818
CID-155860,60819
CID-129360,60820
CID-20190826,60821
CID-4437318,60822
CID-25141778,60823
CID-72319,60824
CID-60202409,60825
CID-53943587,60826
CID-15859367,60827
CID-45101490,60828
CID-44579651,60829
CID-24992428,60830
CID-12816361,60831
CID-10196460,60832
CID-739884,60833
CID-7448,60834
CID-53362203,60835
CID-12462601,60836
CID-90913498,60837
CID-193619,60838
CID-3501942,60839
CID-53920925,60840
CID-44433399,60841
CID-3016758,60842
CID-24740652,60843
CID-3576485,60844
CID-12867379,60845
CID-3764,60846
CID-21241988,60847
CID-131639,60848
CID-57235079,60849
CID-11972317,60850
CID-44327639,60851
CID-17789722,60852
CID-44360615,60853
CID-44428529,60854
CID-275752,60855
CID-11422294,60856
CID-10288740,60857
CID-660311,60858
CID-128940,60859
CID-395376,60860
CID-123982,60861
CID-6336105,60862
CID-82790,60863
CID-11824,60864
CID-10327091,60865
CID-20849162,60866
CID-34341,60867
CID-10009116,60868
CID-86007529,60869
CID-10886024,60870
CID-16118191,60871
CID-10438202,60872
CID-61370,60873
CID-554112,60874
CID-45479342,60875
CID-11646269,60876
CID-360404,60877
CID-177049,60878
CID-46226171,60879
CID-53356518,60880
CID-65517,60881
CID-3255932,60882
CID-25052977,60883
CID-11973780,60884
CID-57309637,60885
CID-45479709,60886
CID-91553654,60887
CID-90935637,60888
CID-90448,60889
CID-49869503,60890
CID-5160,60891
CID-14530588,60892
CID-71273635,60893
CID-25024108,60894
CID-9831659,60895
CID-90655808,60896
CID-25120129,60897
CID-56603814,60898
CID-91220228,60899
CID-54685524,60900
CID-70697643,60901
CID-11646228,60902
CID-196733,60903
CID-67454,60904
CID-44292414,60905
CID-2759315,60906
CID-175996,60907
CID-2762842,60908
CID-42599455,60909
CID-44453182,60910
CID-16718917,60911
CID-10088613,60912
CID-10381500,60913
CID-23290,60914
CID-439996,60915
CID-46232944,60916
CID-108059,60917
CID-2876,60918
CID-57418627,60919
CID-44387477,60920
CID-11500496,60921
CID-3906777,60922
CID-45139601,60923
CID-24964523,60924
CID-388132,60925
CID-57392785,60926
CID-5321507,60927
CID-3162,60928
CID-9829594,60929
CID-14362,60930
CID-146981,60931
CID-44575324,60932
CID-10075131,60933
CID-16736060,60934
CID-12254875,60935
CID-59464331,60936
CID-22987376,60937
CID-188826,60938
CID-198149,60939
CID-24877657,60940
CID-883207,60941
CID-18358435,60942
CID-11294152,60943
CID-94180,60944
CID-46880534,60945
CID-74891862,60946
CID-24896938,60947
CID-24879380,60948
CID-44424850,60949
CID-146494,60950
CID-53868371,60951
CID-91482486,60952
CID-57420407,60953
CID-44592196,60954
CID-12211,60955
CID-85796147,60956
CID-49836300,60957
CID-11241089,60958
CID-54756059,60959
CID-91344980,60960
CID-16122509,60961
CID-442443,60962
CID-12385441,60963
CID-3709580,60964
CID-15234235,60965
CID-54039855,60966
CID-24850183,60967
CID-71770918,60968
CID-91582154,60969
CID-71675,60970
CID-14863769,60971
CID-629665,60972
CID-15148,60973
CID-11568663,60974
CID-76210622,60975
CID-31237,60976
CID-603531,60977
CID-192619,60978
CID-26948,60979
CID-90773380,60980
CID-10436647,60981
CID-688,60982
CID-44387813,60983
CID-44374466,60984
CID-404291,60985
CID-9801972,60986
CID-11323834,60987
CID-90967027,60988
CID-5354970,60989
CID-2783247,60990
CID-13183481,60991
CID-10228242,60992
CID-449381,60993
CID-91164249,60994
CID-58430749,60995
CID-83346,60996
CID-11997994,60997
CID-194026,60998
CID-10097091,60999
CID-148406,61000
CID-15205628,61001
CID-3035447,61002
CID-71432,61003
CID-57082634,61004
CID-69256,61005
CID-44584469,61006
CID-83681,61007
CID-11668827,61008
CID-145826,61009
CID-44570958,61010
CID-13482,61011
CID-22172294,61012
CID-75240,61013
CID-45268470,61014
CID-57402629,61015
CID-336309,61016
CID-98030,61017
CID-1541,61018
CID-16110367,61019
CID-10534645,61020
CID-566097,61021
CID-24987377,61022
CID-11432076,61023
CID-10931397,61024
CID-6439623,61025
CID-159589,61026
CID-44414622,61027
CID-260020,61028
CID-74210,61029
CID-192358,61030
CID-44158191,61031
CID-126046,61032
CID-108222,61033
CID-9932852,61034
CID-146206,61035
CID-466623,61036
CID-53319615,61037
CID-46915230,61038
CID-10428617,61039
CID-44158125,61040
CID-11959085,61041
CID-57284342,61042
CID-73437615,61043
CID-10296638,61044
CID-174674,61045
CID-44404879,61046
CID-54052326,61047
CID-78318,61048
CID-16045777,61049
CID-90736270,61050
CID-71710897,61051
CID-4933,61052
CID-53889880,61053
CID-397614,61054
CID-44428783,61055
CID-56660102,61056
CID-25065981,61057
CID-1054,61058
CID-11205757,61059
CID-92907,61060
CID-2734931,61061
CID-484980,61062
CID-46891129,61063
CID-16640967,61064
CID-16110637,61065
CID-189061,61066
CID-137194,61067
CID-11725128,61068
CID-67202249,61069
CID-44132083,61070
CID-11240924,61071
CID-10948665,61072
CID-14574249,61073
CID-10199351,61074
CID-46885743,61075
CID-9827423,61076
CID-216720,61077
CID-24825725,61078
CID-21579051,61079
CID-7147174,61080
CID-98807,61081
CID-587210,61082
CID-66437,61083
CID-65442,61084
CID-86615599,61085
CID-91933,61086
CID-90656625,61087
CID-46226134,61088
CID-82105,61089
CID-75981,61090
CID-71489825,61091
CID-71681177,61092
CID-10396866,61093
CID-22395229,61094
CID-115204,61095
CID-9912114,61096
CID-13171952,61097
CID-115114,61098
CID-12109757,61099
CID-44138654,61100
CID-44462760,61101
CID-12805600,61102
CID-11539598,61103
CID-54289259,61104
CID-91668539,61105
CID-92198,61106
CID-21716170,61107
CID-56683705,61108
CID-25014684,61109
CID-15581125,61110
CID-193532,61111
CID-82148,61112
CID-22229332,61113
CID-46891585,61114
CID-34665,61115
CID-145983,61116
CID-44453406,61117
CID-910834,61118
CID-44614018,61119
CID-98663,61120
CID-16083168,61121
CID-32223,61122
CID-13847902,61123
CID-2723924,61124
CID-154117,61125
CID-3392032,61126
CID-9847505,61127
CID-45375929,61128
CID-68310,61129
CID-444184,61130
CID-11214940,61131
CID-23274211,61132
CID-45485761,61133
CID-131321,61134
CID-12493795,61135
CID-1213,61136
CID-9845561,61137
CID-10215375,61138
CID-462493,61139
CID-239077,61140
CID-18222741,61141
CID-20978644,61142
CID-54023725,61143
CID-14805664,61144
CID-90865933,61145
CID-15768146,61146
CID-44481638,61147
CID-66553107,61148
CID-10603443,61149
CID-444122,61150
CID-467900,61151
CID-5464102,61152
CID-44566774,61153
CID-5322078,61154
CID-10332515,61155
CID-4483147,61156
CID-128465,61157
CID-11147675,61158
CID-40065,61159
CID-343973,61160
CID-104781,61161
CID-69314,61162
CID-73353419,61163
CID-91119039,61164
CID-6104,61165
CID-10612881,61166
CID-96291,61167
CID-23648332,61168
CID-44436618,61169
CID-6453783,61170
CID-52945604,61171
CID-90978591,61172
CID-14817551,61173
CID-63116,61174
CID-44216169,61175
CID-21855241,61176
CID-46183855,61177
CID-521035,61178
CID-11687648,61179
CID-53262748,61180
CID-238207,61181
CID-14205308,61182
CID-9818312,61183
CID-10555618,61184
CID-519417,61185
CID-56600473,61186
CID-44309700,61187
CID-10468164,61188
CID-58341415,61189
CID-551094,61190
CID-83731,61191
CID-5311374,61192
CID-9576927,61193
CID-67210,61194
CID-90821025,61195
CID-3802778,61196
CID-18793876,61197
CID-3691284,61198
CID-49783410,61199
CID-23650959,61200
CID-23563263,61201
CID-12509712,61202
CID-90747842,61203
CID-15907834,61204
CID-2736197,61205
CID-124962,61206
CID-4611,61207
CID-91027779,61208
CID-45258553,61209
CID-24804312,61210
CID-15539728,61211
CID-9994551,61212
CID-11234230,61213
CID-5243,61214
CID-44564217,61215
CID-24738062,61216
CID-15850,61217
CID-46239023,61218
CID-56594781,61219
CID-10975597,61220
CID-22619064,61221
CID-2127,61222
CID-22024160,61223
CID-7478,61224
CID-22045222,61225
CID-466287,61226
CID-77859,61227
CID-9215,61228
CID-10595858,61229
CID-44235401,61230
CID-49867075,61231
CID-3080721,61232
CID-131746,61233
CID-20724899,61234
CID-46739312,61235
CID-3807860,61236
CID-49788443,61237
CID-3848257,61238
CID-72710787,61239
CID-29897,61240
CID-130237,61241
CID-9883997,61242
CID-11209923,61243
CID-101696,61244
CID-3037779,61245
CID-19771825,61246
CID-10924449,61247
CID-10039584,61248
CID-24261,61249
CID-180070,61250
CID-53408677,61251
CID-5281644,61252
CID-125903,61253
CID-44445748,61254
CID-57252725,61255
CID-90822482,61256
CID-90665817,61257
CID-3035733,61258
CID-99322,61259
CID-4767,61260
CID-53386757,61261
CID-16144864,61262
CID-66960,61263
CID-167642,61264
CID-44472636,61265
CID-13416935,61266
CID-83795,61267
CID-32765,61268
CID-142597,61269
CID-5135064,61270
CID-15331838,61271
CID-3035776,61272
CID-6455481,61273
CID-278138,61274
CID-221401,61275
CID-29732,61276
CID-16745294,61277
CID-10126504,61278
CID-10105936,61279
CID-45482679,61280
CID-44290915,61281
CID-46870011,61282
CID-44588004,61283
CID-3048181,61284
CID-10548274,61285
CID-465481,61286
CID-9910468,61287
CID-3035767,61288
CID-175634,61289
CID-2794173,61290
CID-45479508,61291
CID-44455817,61292
CID-71614498,61293
CID-105010,61294
CID-181230,61295
CID-2794188,61296
CID-21648728,61297
CID-49859710,61298
CID-44373192,61299
CID-11196323,61300
CID-191831,61301
CID-10387351,61302
CID-11275275,61303
CID-91087053,61304
CID-10582838,61305
CID-23273582,61306
CID-91964,61307
CID-131986,61308
CID-3035636,61309
CID-23313843,61310
CID-2737300,61311
CID-10816682,61312
CID-7861,61313
CID-127696,61314
CID-5318861,61315
CID-7218,61316
CID-153204,61317
CID-5231,61318
CID-44372638,61319
CID-44315085,61320
CID-67126347,61321
CID-22357499,61322
CID-42010,61323
CID-44404903,61324
CID-24952928,61325
CID-3259,61326
CID-9949740,61327
CID-182581,61328
CID-365773,61329
CID-106312,61330
CID-54764241,61331
CID-56994075,61332
CID-76321505,61333
CID-10744808,61334
CID-44292214,61335
CID-44511339,61336
CID-387046,61337
CID-11487740,61338
CID-270723,61339
CID-11366985,61340
CID-5359264,61341
CID-53257413,61342
CID-37511,61343
CID-68503451,61344
CID-44432351,61345
CID-90741952,61346
CID-233,61347
CID-25015888,61348
CID-56955108,61349
CID-22664782,61350
CID-122156,61351
CID-10116877,61352
CID-125001,61353
CID-9805655,61354
CID-10097077,61355
CID-53494972,61356
CID-512323,61357
CID-22285573,61358
CID-46206469,61359
CID-21219157,61360
CID-11647673,61361
CID-605576,61362
CID-44570484,61363
CID-71229805,61364
CID-11407223,61365
CID-129182,61366
CID-151792,61367
CID-68978,61368
CID-57369539,61369
CID-17474,61370
CID-46913606,61371
CID-604763,61372
CID-1012,61373
CID-10480515,61374
CID-191722,61375
CID-27931,61376
CID-91366326,61377
CID-12182,61378
CID-24822267,61379
CID-2750488,61380
CID-362046,61381
CID-123043,61382
CID-11367,61383
CID-57318710,61384
CID-450266,61385
CID-90959668,61386
CID-6332567,61387
CID-7019074,61388
CID-66553500,61389
CID-90655075,61390
CID-10462573,61391
CID-10324857,61392
CID-14991489,61393
CID-5282545,61394
CID-10510242,61395
CID-44275766,61396
CID-44186666,61397
CID-6329105,61398
CID-146200,61399
CID-10391650,61400
CID-10233517,61401
CID-417164,61402
CID-16487,61403
CID-9917566,61404
CID-5316656,61405
CID-16680209,61406
CID-7191,61407
CID-12118082,61408
CID-44411169,61409
CID-23214966,61410
CID-77509,61411
CID-56589615,61412
CID-10153014,61413
CID-57397299,61414
CID-2244,61415
CID-167150,61416
CID-223104,61417
CID-10072025,61418
CID-71457409,61419
CID-146688,61420
CID-11529561,61421
CID-91534274,61422
CID-122264,61423
CID-44334554,61424
CID-5461895,61425
CID-2352168,61426
CID-542,61427
CID-25147674,61428
CID-3717598,61429
CID-168106,61430
CID-162019,61431
CID-57397742,61432
CID-11986114,61433
CID-9890680,61434
CID-363685,61435
CID-46232919,61436
CID-13704003,61437
CID-22326301,61438
CID-91107970,61439
CID-70679367,61440
CID-90945777,61441
CID-15818140,61442
CID-10371554,61443
CID-90531,61444
CID-123372,61445
CID-560338,61446
CID-71817134,61447
CID-11063866,61448
CID-14665384,61449
CID-6476723,61450
CID-442786,61451
CID-44329303,61452
CID-128213,61453
CID-164285,61454
CID-10385056,61455
CID-73386669,61456
CID-3399372,61457
CID-91266773,61458
CID-4470175,61459
CID-91528884,61460
CID-11524188,61461
CID-5274591,61462
CID-4084871,61463
CID-11408287,61464
CID-442948,61465
CID-10222417,61466
CID-7677,61467
CID-53362546,61468
CID-19085914,61469
CID-10330761,61470
CID-11046701,61471
CID-57394038,61472
CID-9820545,61473
CID-44588746,61474
CID-51029876,61475
CID-126626,61476
CID-148376,61477
CID-2733659,61478
CID-56955208,61479
CID-10953441,61480
CID-16771998,61481
CID-44312007,61482
CID-12964089,61483
CID-10060101,61484
CID-91557186,61485
CID-417553,61486
CID-1889,61487
CID-18184234,61488
CID-46931242,61489
CID-23644206,61490
CID-44436622,61491
CID-71460037,61492
CID-11968461,61493
CID-5288610,61494
CID-12471456,61495
CID-3030,61496
CID-36975,61497
CID-3004127,61498
CID-11665831,61499
CID-44291066,61500
CID-5318186,61501
CID-3487,61502
CID-10232075,61503
CID-65373,61504
CID-71562592,61505
CID-125581,61506
CID-21576138,61507
CID-270006,61508
CID-5281672,61509
CID-118418,61510
CID-128170,61511
CID-11891,61512
CID-6918670,61513
CID-41327,61514
CID-90922631,61515
CID-22022473,61516
CID-16061139,61517
CID-25227672,61518
CID-12442824,61519
CID-2783172,61520
CID-4064324,61521
CID-10717065,61522
CID-66118,61523
CID-24901682,61524
CID-25003717,61525
CID-136737,61526
CID-48699,61527
CID-11577871,61528
CID-90886516,61529
CID-158598,61530
CID-9917072,61531
CID-73356500,61532
CID-11852642,61533
CID-9871420,61534
CID-90769560,61535
CID-11574781,61536
CID-761,61537
CID-19107819,61538
CID-639680,61539
CID-78534,61540
CID-177696,61541
CID-44581457,61542
CID-44433289,61543
CID-52942130,61544
CID-5916,61545
CID-19098091,61546
CID-46907787,61547
CID-44454539,61548
CID-24800108,61549
CID-105038,61550
CID-53322369,61551
CID-68384,61552
CID-336313,61553
CID-24879452,61554
CID-4169197,61555
CID-3082227,61556
CID-188136,61557
CID-95563,61558
CID-10035382,61559
CID-90950725,61560
CID-12512060,61561
CID-59296039,61562
CID-185604,61563
CID-91700367,61564
CID-5858,61565
CID-5320349,61566
CID-71521515,61567
CID-3016028,61568
CID-1110,61569
CID-25061924,61570
CID-44590178,61571
CID-45268485,61572
CID-44512090,61573
CID-73354669,61574
CID-535246,61575
CID-46880397,61576
CID-7412,61577
CID-11743459,61578
CID-49836617,61579
CID-9534704,61580
CID-9828888,61581
CID-6828,61582
CID-11777,61583
CID-1238,61584
CID-72546995,61585
CID-15705,61586
CID-9987422,61587
CID-66545563,61588
CID-161896,61589
CID-44455482,61590
CID-14440205,61591
CID-19972106,61592
CID-44329423,61593
CID-440269,61594
CID-191566,61595
CID-11116743,61596
CID-73212856,61597
CID-18962229,61598
CID-70116,61599
CID-14841,61600
CID-57744455,61601
CID-9918384,61602
CID-91342005,61603
CID-25108715,61604
CID-22998707,61605
CID-535188,61606
CID-45486473,61607
CID-3095,61608
CID-56659465,61609
CID-10908068,61610
CID-12746961,61611
CID-9807565,61612
CID-57398830,61613
CID-127262,61614
CID-16031344,61615
CID-70135,61616
CID-70681986,61617
CID-51058793,61618
CID-80295,61619
CID-11344183,61620
CID-14949942,61621
CID-10291489,61622
CID-10241,61623
CID-23647053,61624
CID-72124,61625
CID-6428646,61626
CID-5324638,61627
CID-11813925,61628
CID-2917,61629
CID-161510,61630
CID-3083632,61631
CID-15954436,61632
CID-147078,61633
CID-12762680,61634
CID-128895,61635
CID-10021885,61636
CID-193880,61637
CID-90940946,61638
CID-131583,61639
CID-16006497,61640
CID-12651414,61641
CID-3081740,61642
CID-957,61643
CID-10975416,61644
CID-119461,61645
CID-45485888,61646
CID-9844109,61647
CID-10545696,61648
CID-496865,61649
CID-9896646,61650
CID-24895171,61651
CID-52946496,61652
CID-5283746,61653
CID-87627,61654
CID-105079,61655
CID-10103715,61656
CID-442194,61657
CID-20606595,61658
CID-1578,61659
CID-11664318,61660
CID-44605893,61661
CID-422830,61662
CID-80799,61663
CID-434770,61664
CID-191263,61665
CID-78431,61666
CID-91400122,61667
CID-20548931,61668
CID-296132,61669
CID-161246,61670
CID-1073,61671
CID-7130675,61672
CID-14594126,61673
CID-16378869,61674
CID-11657672,61675
CID-44309326,61676
CID-91535219,61677
CID-452302,61678
CID-11349616,61679
CID-23278939,61680
CID-11953815,61681
CID-25139058,61682
CID-157432,61683
CID-23230,61684
CID-21279276,61685
CID-70695640,61686
CID-57345852,61687
CID-73056,61688
CID-10430210,61689
CID-56944086,61690
CID-235836,61691
CID-442860,61692
CID-466837,61693
CID-22037,61694
CID-9876977,61695
CID-24953854,61696
CID-26238934,61697
CID-57343721,61698
CID-282970,61699
CID-124700,61700
CID-71763197,61701
CID-151169,61702
CID-44430209,61703
CID-5283662,61704
CID-159320,61705
CID-882744,61706
CID-95640,61707
CID-251596,61708
CID-53329220,61709
CID-6444126,61710
CID-12950180,61711
CID-76317517,61712
CID-25202322,61713
CID-10334091,61714
CID-964,61715
CID-10101988,61716
CID-7653,61717
CID-25055546,61718
CID-24755482,61719
CID-3035573,61720
CID-15786925,61721
CID-24820512,61722
CID-6857705,61723
CID-69512,61724
CID-171458,61725
CID-57396265,61726
CID-118923,61727
CID-73254845,61728
CID-6918360,61729
CID-11617911,61730
CID-10246728,61731
CID-68130,61732
CID-23313826,61733
CID-5473638,61734
CID-5087643,61735
CID-3036509,61736
CID-46888738,61737
CID-10328491,61738
CID-44377501,61739
CID-57634925,61740
CID-14795179,61741
CID-10589419,61742
CID-10336603,61743
CID-343547,61744
CID-184475,61745
CID-87398053,61746
CID-42636485,61747
CID-11249134,61748
CID-65356,61749
CID-65961,61750
CID-57191239,61751
CID-442468,61752
CID-146105,61753
CID-11618024,61754
CID-75583,61755
CID-4077460,61756
CID-10090654,61757
CID-4227268,61758
CID-9835322,61759
CID-11272641,61760
CID-44580048,61761
CID-17153,61762
CID-124322,61763
CID-73755217,61764
CID-261410,61765
CID-94231,61766
CID-5459,61767
CID-7648870,61768
CID-627484,61769
CID-30020,61770
CID-91566665,61771
CID-10768801,61772
CID-76210601,61773
CID-91321136,61774
CID-139577,61775
CID-13707619,61776
CID-23948,61777
CID-129044,61778
CID-3080959,61779
CID-82075869,61780
CID-44582855,61781
CID-45482016,61782
CID-9872886,61783
CID-11249230,61784
CID-163191,61785
CID-71455505,61786
CID-9840453,61787
CID-440308,61788
CID-11954052,61789
CID-123787,61790
CID-44403567,61791
CID-11508316,61792
CID-489917,61793
CID-53321084,61794
CID-176042,61795
CID-22258,61796
CID-10434874,61797
CID-6430150,61798
CID-9824954,61799
CID-541584,61800
CID-44408155,61801
CID-150805,61802
CID-71508233,61803
CID-73065,61804
CID-11460746,61805
CID-21268173,61806
CID-15251535,61807
CID-571358,61808
CID-4162493,61809
CID-123162,61810
CID-87462,61811
CID-6722,61812
CID-14465,61813
CID-467,61814
CID-45482462,61815
CID-22149,61816
CID-143613,61817
CID-10480779,61818
CID-9876514,61819
CID-11209174,61820
CID-13795010,61821
CID-10728039,61822
CID-11574694,61823
CID-430162,61824
CID-137378,61825
CID-100638,61826
CID-69659,61827
CID-12764239,61828
CID-369930,61829
CID-123258,61830
CID-9914327,61831
CID-501390,61832
CID-5589,61833
CID-22340076,61834
CID-11232421,61835
CID-5321376,61836
CID-54579916,61837
CID-10341730,61838
CID-57749346,61839
CID-94381,61840
CID-31337,61841
CID-13240722,61842
CID-9908890,61843
CID-510947,61844
CID-107580,61845
CID-11064894,61846
CID-44453915,61847
CID-471002,61848
CID-11553515,61849
CID-3165,61850
CID-443993,61851
CID-9856509,61852
CID-90809784,61853
CID-44428507,61854
CID-9892106,61855
CID-433961,61856
CID-15523,61857
CID-24800677,61858
CID-68822,61859
CID-10950220,61860
CID-13335985,61861
CID-13942164,61862
CID-44237669,61863
CID-618890,61864
CID-53237720,61865
CID-8018,61866
CID-56666232,61867
CID-44285177,61868
CID-90917140,61869
CID-7228,61870
CID-44460343,61871
CID-3013895,61872
CID-10171492,61873
CID-637399,61874
CID-44411167,61875
CID-16731976,61876
CID-20077934,61877
CID-44583557,61878
CID-10043385,61879
CID-44404992,61880
CID-170929,61881
CID-2727519,61882
CID-53838001,61883
CID-25253703,61884
CID-439922,61885
CID-44459556,61886
CID-60673,61887
CID-182017,61888
CID-44431316,61889
CID-24949495,61890
CID-46231261,61891
CID-10213907,61892
CID-46889918,61893
CID-11217947,61894
CID-135432,61895
CID-71587524,61896
CID-36429,61897
CID-11219303,61898
CID-24860459,61899
CID-9985715,61900
CID-12777810,61901
CID-23647644,61902
CID-5486914,61903
CID-44360752,61904
CID-44517651,61905
CID-11602110,61906
CID-3645619,61907
CID-12491680,61908
CID-155,61909
