chemical,map
CID-81444,22614
CID-5287496,22615
CID-155493,22616
CID-4438231,22617
CID-10610114,22618
CID-1069008,22619
CID-86007927,22620
CID-24978557,22621
CID-11568129,22622
CID-56949973,22623
CID-44456009,22624
CID-3718,22625
CID-44561787,22626
CID-44342511,22627
CID-11311056,22628
CID-10534650,22629
CID-9973798,22630
CID-66387650,22631
CID-604832,22632
CID-5285390,22633
CID-53324534,22634
CID-84325,22635
CID-98285,22636
CID-44455038,22637
CID-18379210,22638
CID-25018786,22639
CID-9867349,22640
CID-91281186,22641
CID-49761238,22642
CID-23657836,22643
CID-11378442,22644
CID-25233584,22645
CID-11207049,22646
CID-148264,22647
CID-547855,22648
CID-60765,22649
CID-53759472,22650
CID-144834,22651
CID-15679,22652
CID-10503057,22653
CID-484897,22654
CID-10553426,22655
CID-22151373,22656
CID-76283248,22657
CID-443076,22658
CID-193398,22659
CID-44284390,22660
CID-11502870,22661
CID-25168857,22662
CID-546300,22663
CID-16196967,22664
CID-21629591,22665
CID-16210769,22666
CID-13156399,22667
CID-549240,22668
CID-5411,22669
CID-11381415,22670
CID-11569449,22671
CID-3572763,22672
CID-125985,22673
CID-44314900,22674
CID-10627414,22675
CID-10261237,22676
CID-44475968,22677
CID-21637602,22678
CID-193037,22679
CID-42601508,22680
CID-439699,22681
CID-25107504,22682
CID-44555622,22683
CID-40399,22684
CID-90715408,22685
CID-80714,22686
CID-11497883,22687
CID-130305,22688
CID-46911691,22689
CID-44379428,22690
CID-25093348,22691
CID-22643714,22692
CID-9815616,22693
CID-108687,22694
CID-15983457,22695
CID-11192900,22696
CID-25113170,22697
CID-123799,22698
CID-25210873,22699
CID-11605792,22700
CID-60060060,22701
CID-441091,22702
CID-493093,22703
CID-76970188,22704
CID-68381,22705
CID-11143216,22706
CID-12486971,22707
CID-44455678,22708
CID-143774,22709
CID-3014237,22710
CID-91335347,22711
CID-58189736,22712
CID-42641863,22713
CID-52940152,22714
CID-71586789,22715
CID-10417550,22716
CID-147614,22717
CID-44325018,22718
CID-152111,22719
CID-17819826,22720
CID-478835,22721
CID-86276128,22722
CID-638584,22723
CID-2784734,22724
CID-18231521,22725
CID-54692492,22726
CID-73357729,22727
CID-11674519,22728
CID-15701742,22729
CID-541541,22730
CID-107738,22731
CID-25256850,22732
CID-9845057,22733
CID-10206257,22734
CID-10438950,22735
CID-136131,22736
CID-96916,22737
CID-46200822,22738
CID-78888,22739
CID-44446678,22740
CID-56668400,22741
CID-10909598,22742
CID-10304617,22743
CID-56967992,22744
CID-73508,22745
CID-25190600,22746
CID-23628252,22747
CID-15394248,22748
CID-3035029,22749
CID-71461054,22750
CID-135790,22751
CID-483514,22752
CID-44433276,22753
CID-11978005,22754
CID-44434360,22755
CID-151080,22756
CID-15069,22757
CID-100425,22758
CID-24135,22759
CID-1134,22760
CID-14389199,22761
CID-87078824,22762
CID-10657594,22763
CID-11593090,22764
CID-18762,22765
CID-90960864,22766
CID-5281946,22767
CID-71563149,22768
CID-111843,22769
CID-24403,22770
CID-22186129,22771
CID-54585406,22772
CID-3598218,22773
CID-44338607,22774
CID-107667,22775
CID-22178558,22776
CID-89580,22777
CID-10486805,22778
CID-10964397,22779
CID-44577911,22780
CID-197303,22781
CID-63101,22782
CID-41492,22783
CID-44422289,22784
CID-163953,22785
CID-3250248,22786
CID-10080976,22787
CID-44419944,22788
CID-16109152,22789
CID-44327160,22790
CID-482881,22791
CID-53767139,22792
CID-24944972,22793
CID-77452,22794
CID-57197757,22795
CID-38282,22796
CID-656734,22797
CID-91105926,22798
CID-53709936,22799
CID-262753,22800
CID-642785,22801
CID-10069246,22802
CID-146828,22803
CID-51050040,22804
CID-10814318,22805
CID-10576375,22806
CID-7408403,22807
CID-146233,22808
CID-202196,22809
CID-11798691,22810
CID-54578725,22811
CID-71716486,22812
CID-10313265,22813
