drug,map
CID-10402592,187793
CID-6442223,187794
CID-44388034,187795
CID-131704277,187796
CID-95883,187797
CID-44437880,187798
CID-22574214,187799
CID-2481,187800
CID-10432715,187801
CID-155774,187802
CID-11957380,187803
CID-44412953,187804
CID-44398742,187805
CID-6438757,187806
CID-44406095,187807
CID-91623350,187808
CID-9824013,187809
CID-46884115,187810
CID-25167017,187811
CID-24937012,187812
CID-12598931,187813
CID-6918176,187814
CID-637540,187815
CID-11623295,187816
CID-11579307,187817
CID-24827287,187818
CID-7188,187819
CID-5484725,187820
CID-5748416,187821
CID-9859257,187822
CID-7339,187823
CID-11356288,187824
CID-3466480,187825
CID-90571,187826
CID-10591006,187827
CID-441401,187828
CID-73271,187829
CID-46223585,187830
CID-21345764,187831
CID-6105620,187832
CID-44568843,187833
CID-46232722,187834
CID-46936851,187835
CID-46173836,187836
CID-11822292,187837
CID-53698,187838
CID-44393683,187839
CID-44387500,187840
CID-966005,187841
CID-44584680,187842
CID-46937168,187843
CID-44576210,187844
CID-44134959,187845
CID-5287495,187846
CID-44418724,187847
CID-10680721,187848
CID-44242844,187849
CID-10197862,187850
CID-251561,187851
CID-1548942,187852
CID-44413146,187853
CID-68770,187854
CID-10290302,187855
CID-44277697,187856
CID-9870652,187857
CID-44587266,187858
CID-44385624,187859
CID-448577,187860
CID-5761,187861
CID-44316902,187862
CID-6178111,187863
CID-6419718,187864
CID-44224257,187865
CID-25023710,187866
CID-46232145,187867
CID-25208747,187868
CID-18068,187869
CID-5284604,187870
CID-11819989,187871
CID-6918714,187872
CID-4470378,187873
CID-5287459,187874
CID-137295292,187875
CID-44322318,187876
CID-5324988,187877
CID-9891980,187878
CID-10976469,187879
CID-86278345,187880
CID-23663956,187881
CID-49864181,187882
CID-11351920,187883
CID-44349481,187884
CID-44422917,187885
CID-10089677,187886
CID-15390275,187887
CID-11225217,187888
CID-44292136,187889
CID-5276852,187890
CID-9294,187891
CID-73755154,187892
CID-87345,187893
CID-25034344,187894
CID-5326018,187895
CID-46886465,187896
CID-5284904,187897
CID-444390,187898
CID-17413,187899
CID-10435114,187900
CID-16049458,187901
CID-24856363,187902
CID-44331083,187903
CID-10154356,187904
CID-44555371,187905
CID-25224941,187906
CID-10403152,187907
CID-12114743,187908
CID-44413270,187909
CID-44133851,187910
CID-45273571,187911
CID-49866889,187912
CID-3083511,187913
CID-16110290,187914
CID-25180306,187915
CID-45028895,187916
CID-441296,187917
CID-46888101,187918
CID-10318874,187919
CID-10231401,187920
CID-44560286,187921
CID-25242512,187922
CID-501254,187923
CID-17758920,187924
CID-10513958,187925
CID-4284721,187926
CID-46475,187927
CID-16678118,187928
CID-16100411,187929
CID-446501,187930
CID-10196499,187931
CID-14535954,187932
CID-11849796,187933
CID-20227315,187934
CID-10098735,187935
CID-42617985,187936
CID-44412139,187937
CID-71315513,187938
CID-44404904,187939
CID-10114365,187940
CID-44342872,187941
CID-44371672,187942
CID-131007,187943
CID-24958668,187944
CID-44401550,187945
CID-25113615,187946
CID-44182294,187947
CID-8408,187948
CID-11567473,187949
CID-73755104,187950
CID-71731823,187951
CID-46936513,187952
CID-10942040,187953
CID-91270,187954
CID-25151109,187955
CID-11957582,187956
CID-444302,187957
CID-6433106,187958
CID-21192457,187959
CID-25034016,187960
CID-76968835,187961
CID-90684387,187962
CID-44413716,187963
CID-122357,187964
CID-10017687,187965
CID-19366856,187966
CID-15160217,187967
CID-5280965,187968
CID-210956,187969
CID-5459373,187970
CID-4043484,187971
CID-16129670,187972
CID-44440632,187973
CID-5311493,187974
CID-4102304,187975
CID-10062714,187976
CID-705771,187977
CID-96430,187978
CID-4038142,187979
CID-50905713,187980
CID-445228,187981
CID-46937099,187982
CID-10339001,187983
CID-188803,187984
CID-13720739,187985
CID-5288145,187986
CID-684193,187987
CID-44413846,187988
CID-167685,187989
CID-4369390,187990
CID-11507052,187991
CID-11658819,187992
CID-11537456,187993
CID-5289112,187994
CID-11954348,187995
CID-197644,187996
CID-17150,187997
CID-46937179,187998
CID-5311502,187999
CID-9808844,188000
CID-9947811,188001
CID-9880,188002
CID-44341428,188003
CID-24963046,188004
CID-5359476,188005
CID-44414722,188006
CID-5280363,188007
CID-176445,188008
CID-4713436,188009
CID-44559995,188010
CID-11535796,188011
CID-44405888,188012
CID-3146743,188013
CID-2754657,188014
CID-445732,188015
CID-44575104,188016
CID-9816611,188017
CID-11231979,188018
CID-5940197,188019
CID-10267149,188020
CID-9915756,188021
CID-44557636,188022
CID-44386837,188023
CID-451714,188024
CID-46223108,188025
CID-446800,188026
CID-46933989,188027
CID-237786,188028
CID-3188786,188029
CID-24779675,188030
CID-325597,188031
CID-44369352,188032
CID-16095112,188033
CID-5283038,188034
CID-11363176,188035
CID-15345559,188036
CID-127948,188037
CID-446411,188038
CID-705712,188039
CID-9960281,188040
CID-11522157,188041
CID-44568534,188042
CID-2817024,188043
CID-11536458,188044
CID-57363,188045
CID-3965,188046
CID-44242845,188047
CID-11579,188048
CID-4369594,188049
CID-10078636,188050
CID-44234911,188051
CID-56841793,188052
CID-5113032,188053
CID-160193,188054
CID-11674979,188055
CID-44456126,188056
CID-60983,188057
CID-234105,188058
CID-447793,188059
CID-669190,188060
CID-4117381,188061
CID-10318848,188062
CID-5281717,188063
CID-44411876,188064
CID-5311223,188065
CID-2802466,188066
CID-12229386,188067
CID-15942713,188068
CID-11539381,188069
CID-5360733,188070
CID-6323516,188071
CID-252696,188072
CID-656665,188073
CID-11242245,188074
CID-45483466,188075
CID-93052,188076
CID-11987846,188077
CID-13448492,188078
CID-46911435,188079
CID-444607,188080
CID-10401956,188081
CID-6439355,188082
CID-13724742,188083
CID-742677,188084
CID-122173811,188085
CID-3045225,188086
CID-10016248,188087
CID-171113,188088
CID-10318664,188089
CID-44419700,188090
CID-201590,188091
CID-5288724,188092
CID-44448617,188093
CID-5283130,188094
CID-152946,188095
CID-10198248,188096
CID-44396768,188097
CID-5329450,188098
CID-25155823,188099
CID-6858240,188100
CID-6011033,188101
CID-44434730,188102
CID-11647668,188103
CID-9908389,188104
CID-32798,188105
CID-44442168,188106
CID-10546795,188107
CID-44396191,188108
CID-12039267,188109
CID-11305,188110
CID-44426510,188111
CID-40539,188112
CID-3086599,188113
CID-16143379,188114
CID-3353976,188115
CID-72941757,188116
CID-9905778,188117
CID-9824353,188118
CID-10120078,188119
CID-73755126,188120
CID-73755215,188121
CID-121026,188122
CID-24812720,188123
CID-91827409,188124
CID-10801657,188125
CID-11586735,188126
CID-11386747,188127
CID-6449854,188128
CID-657038,188129
CID-44543255,188130
CID-6918369,188131
CID-45483400,188132
CID-9939426,188133
CID-131704225,188134
CID-6439022,188135
CID-6176,188136
CID-159496,188137
CID-5329361,188138
CID-9549217,188139
CID-4345957,188140
CID-6883,188141
CID-44624060,188142
CID-6802,188143
CID-19700663,188144
CID-447411,188145
CID-5289228,188146
CID-44587267,188147
CID-447959,188148
CID-49782798,188149
CID-448505,188150
CID-15691812,188151
CID-4288,188152
CID-20043771,188153
CID-23675622,188154
CID-9903563,188155
CID-11663047,188156
CID-46936368,188157
CID-216325,188158
CID-44418281,188159
CID-44265973,188160
CID-25192619,188161
CID-44269078,188162
CID-5355635,188163
CID-446274,188164
CID-16180588,188165
CID-44418147,188166
CID-720635,188167
CID-44549375,188168
CID-439407,188169
CID-5311455,188170
CID-44461181,188171
CID-5289086,188172
CID-11534625,188173
CID-67448186,188174
CID-23978,188175
CID-131704306,188176
CID-44313346,188177
CID-24995604,188178
CID-9839586,188179
CID-447634,188180
CID-44274134,188181
CID-44439876,188182
CID-49799223,188183
CID-45254608,188184
CID-6539818,188185
CID-44418888,188186
CID-413448,188187
CID-9819610,188188
CID-11550292,188189
CID-22132626,188190
CID-10105137,188191
CID-10288191,188192
CID-10399295,188193
CID-46855215,188194
CID-44433505,188195
CID-44386556,188196
CID-443373,188197
CID-445849,188198
CID-44328273,188199
CID-16113377,188200
CID-24749707,188201
CID-44563684,188202
CID-56330,188203
CID-44406762,188204
CID-24691160,188205
CID-9820475,188206
CID-5284373,188207
CID-44370417,188208
CID-5288593,188209
CID-44254596,188210
CID-656392,188211
CID-54678486,188212
CID-171548,188213
CID-57520598,188214
CID-444008,188215
CID-16747683,188216
CID-766948,188217
