drug,map
CID-44331589,190587
CID-11822609,190588
CID-443115,190589
CID-6857688,190590
CID-44447598,190591
CID-10297982,190592
CID-101420,190593
CID-44331261,190594
CID-3034794,190595
CID-5354590,190596
CID-7088456,190597
CID-44393643,190598
CID-10581102,190599
CID-296284,190600
CID-10358392,190601
CID-44567544,190602
CID-53358901,190603
CID-11849194,190604
CID-10921526,190605
CID-44450356,190606
CID-14762941,190607
CID-125468,190608
CID-44392990,190609
CID-411519,190610
CID-44820377,190611
CID-123807,190612
CID-44405159,190613
CID-23635476,190614
CID-5288606,190615
CID-46228424,190616
CID-44376180,190617
CID-10677974,190618
CID-90668184,190619
CID-11718391,190620
CID-444837,190621
CID-44407885,190622
CID-1796510,190623
CID-56953333,190624
CID-44342278,190625
CID-15552206,190626
CID-44153604,190627
CID-11138,190628
CID-92965,190629
CID-44458259,190630
CID-44407281,190631
CID-9809715,190632
CID-44346191,190633
CID-183088,190634
CID-11963552,190635
CID-9577995,190636
CID-10262292,190637
CID-44427175,190638
CID-445456,190639
CID-3002337,190640
CID-44152684,190641
CID-44580317,190642
CID-1075248,190643
CID-56947052,190644
CID-10932611,190645
CID-46830327,190646
CID-9805719,190647
CID-11989776,190648
CID-44407576,190649
CID-15602983,190650
CID-24989566,190651
CID-44543268,190652
CID-46207013,190653
CID-23725028,190654
CID-91654625,190655
CID-34677,190656
CID-449851,190657
CID-17375075,190658
CID-10197933,190659
CID-11702265,190660
CID-10853659,190661
CID-16097729,190662
CID-9804743,190663
CID-25147692,190664
CID-53630410,190665
CID-9941379,190666
CID-63306,190667
CID-22556917,190668
CID-269792,190669
CID-18609630,190670
CID-5363658,190671
CID-5280322,190672
CID-44246743,190673
CID-445460,190674
CID-9969234,190675
CID-9810140,190676
CID-6540051,190677
CID-44157844,190678
CID-53318014,190679
CID-10353806,190680
CID-9818682,190681
CID-11364421,190682
CID-1474853,190683
CID-44418918,190684
CID-320577,190685
CID-44388616,190686
CID-5282411,190687
CID-24856225,190688
CID-9838022,190689
CID-59393720,190690
CID-11168203,190691
CID-44419363,190692
CID-10650263,190693
CID-9851134,190694
CID-42519285,190695
CID-5284632,190696
CID-19816,190697
CID-46232032,190698
CID-6097546,190699
CID-23643836,190700
CID-164619,190701
CID-46898088,190702
CID-11998198,190703
CID-11681722,190704
CID-15731432,190705
CID-46888391,190706
CID-16143911,190707
CID-15569045,190708
CID-3081108,190709
CID-9986835,190710
CID-10038053,190711
CID-6326983,190712
CID-12465608,190713
CID-46866608,190714
CID-6540255,190715
CID-10494803,190716
CID-3001322,190717
CID-411523,190718
CID-6857534,190719
CID-56847486,190720
CID-57559562,190721
CID-9849313,190722
CID-44450380,190723
CID-11584046,190724
CID-6540047,190725
CID-10072462,190726
CID-445723,190727
CID-44452237,190728
CID-9847290,190729
CID-9850974,190730
CID-57826797,190731
CID-44565152,190732
CID-21849939,190733
CID-46836562,190734
CID-25139473,190735
CID-52949920,190736
CID-6438358,190737
CID-25138294,190738
CID-16417,190739
CID-5311437,190740
CID-46223112,190741
CID-56846820,190742
CID-44289922,190743
CID-24866479,190744
CID-11552795,190745
CID-9820748,190746
CID-46885283,190747
CID-3139,190748
CID-46232725,190749
CID-6857719,190750
CID-159491,190751
CID-164014,190752
CID-5353306,190753
CID-73049652,190754
CID-893336,190755
CID-44428667,190756
CID-10400412,190757
CID-44337366,190758
CID-444412,190759
CID-56654642,190760
CID-5462351,190761
CID-44416445,190762
CID-44428631,190763
CID-107807,190764
CID-8060,190765
CID-6096886,190766
CID-24873435,190767
CID-467889,190768
CID-386223,190769
CID-49786999,190770
CID-11690547,190771
CID-34755,190772
CID-25093227,190773
CID-24849910,190774
CID-7330513,190775
CID-44571079,190776
CID-10400521,190777
CID-5288116,190778
CID-11630239,190779
CID-11403950,190780
CID-444346,190781
CID-647145,190782
CID-11292933,190783
CID-11644388,190784
CID-23648528,190785
CID-177836,190786
CID-11276192,190787
CID-44275860,190788
CID-2836828,190789
CID-1562,190790
CID-8759,190791
CID-11437457,190792
CID-6323244,190793
CID-10308075,190794
CID-11840904,190795
CID-4469124,190796
CID-9971277,190797
CID-10332109,190798
CID-23653530,190799
CID-44560631,190800
CID-53340664,190801
CID-117817422,190802
CID-785232,190803
CID-15693948,190804
CID-73755101,190805
CID-339906,190806
CID-11441783,190807
CID-44423687,190808
CID-10278617,190809
CID-9797857,190810
CID-129796,190811
CID-25059818,190812
CID-128387,190813
CID-22254580,190814
CID-123884,190815
CID-16204049,190816
CID-64715,190817
CID-44398297,190818
CID-44584360,190819
CID-56841992,190820
CID-60648,190821
CID-1977,190822
CID-25065930,190823
CID-85171,190824
CID-44567153,190825
CID-5284585,190826
CID-361928,190827
CID-159596,190828
CID-44356037,190829
CID-11149906,190830
CID-73755014,190831
CID-20227317,190832
CID-45270374,190833
CID-11373270,190834
CID-444655,190835
CID-6675803,190836
CID-11337173,190837
CID-16760005,190838
CID-14541446,190839
CID-46222044,190840
CID-146826,190841
CID-9795838,190842
CID-9578787,190843
CID-44400398,190844
CID-49292,190845
CID-44563411,190846
CID-44194646,190847
CID-18189209,190848
CID-6424833,190849
CID-5282494,190850
CID-446320,190851
CID-44542656,190852
CID-11432124,190853
CID-5312138,190854
CID-16058617,190855
CID-24776941,190856
CID-6918392,190857
CID-16738355,190858
CID-183790,190859
CID-21363450,190860
CID-5312125,190861
CID-25093231,190862
CID-9991961,190863
CID-97333,190864
CID-2745583,190865
CID-5488681,190866
CID-5287671,190867
CID-446186,190868
CID-78401,190869
CID-44407073,190870
CID-44342886,190871
CID-10198228,190872
CID-6918289,190873
CID-24827299,190874
CID-6443693,190875
CID-11588811,190876
CID-46240292,190877
CID-73755068,190878
CID-5360515,190879
CID-11543200,190880
CID-5469318,190881
CID-5806,190882
CID-770967,190883
CID-243,190884
CID-6956374,190885
CID-45141805,190886
CID-7916852,190887
CID-67361,190888
CID-16105560,190889
CID-45483175,190890
CID-44428838,190891
CID-123841,190892
CID-10333896,190893
CID-131704260,190894
CID-364142,190895
CID-11712621,190896
CID-45485498,190897
CID-9793868,190898
CID-5284583,190899
CID-5310951,190900
CID-9950054,190901
CID-10612371,190902
CID-11566823,190903
CID-45483186,190904
CID-20055414,190905
CID-6450158,190906
CID-60663,190907
CID-5281915,190908
CID-44452580,190909
CID-9884807,190910
CID-9825434,190911
CID-24777940,190912
CID-10559165,190913
CID-46885230,190914
CID-175496,190915
CID-129045720,190916
CID-44416453,190917
CID-199994,190918
CID-11779595,190919
CID-149351,190920
CID-11117301,190921
CID-5714572,190922
CID-9931205,190923
CID-11322291,190924
CID-44576255,190925
CID-10496171,190926
CID-9806182,190927
CID-131516,190928
CID-15288898,190929
CID-44384137,190930
CID-11437501,190931
CID-24823444,190932
CID-8342,190933
CID-16736031,190934
CID-44268993,190935
CID-75202656,190936
CID-129140,190937
CID-44232525,190938
CID-10399494,190939
CID-24178658,190940
CID-108045,190941
CID-24762578,190942
CID-44414874,190943
CID-6253,190944
CID-53262902,190945
CID-23643835,190946
CID-10491577,190947
CID-44583991,190948
CID-45375910,190949
CID-9995893,190950
CID-126941,190951
CID-9824145,190952
CID-50934699,190953
CID-44456501,190954
CID-10882602,190955
CID-11507040,190956
CID-15237280,190957
CID-5287736,190958
CID-44451417,190959
CID-445957,190960
CID-132337,190961
CID-44404899,190962
CID-25180104,190963
CID-44613458,190964
CID-44158013,190965
CID-5287841,190966
CID-22054806,190967
CID-10776422,190968
CID-13687220,190969
CID-23647240,190970
CID-10155934,190971
CID-86277838,190972
CID-6419789,190973
CID-657061,190974
CID-510913,190975
CID-1540,190976
CID-20833762,190977
CID-52948346,190978
CID-11993866,190979
CID-97080,190980
CID-5460341,190981
CID-10491829,190982
CID-16726095,190983
CID-5281040,190984
CID-25113126,190985
CID-44410037,190986
CID-34592,190987
CID-5280953,190988
CID-454194,190989
CID-27447,190990
CID-10359290,190991
CID-22880,190992
CID-11766372,190993
CID-56603766,190994
CID-11953153,190995
CID-72203102,190996
CID-9953907,190997
CID-54676715,190998
CID-13580026,190999
CID-5289534,191000
CID-13250,191001
CID-13789211,191002
CID-2733504,191003
CID-131704256,191004
CID-97463,191005
CID-14076674,191006
CID-11778521,191007
CID-11515664,191008
CID-9891761,191009
CID-14987,191010
CID-644065,191011
CID-45260374,191012
CID-11987556,191013
CID-44588830,191014
CID-46832368,191015
CID-56650312,191016
CID-71398,191017
CID-10334821,191018
CID-44386824,191019
CID-11658509,191020
CID-16756510,191021
CID-118036971,191022
CID-44380695,191023
CID-89076,191024
CID-10150441,191025
CID-44411127,191026
CID-44415603,191027
CID-73755257,191028
CID-5311096,191029
CID-19077556,191030
CID-6439089,191031
CID-4164759,191032
CID-44440937,191033
CID-73755254,191034
CID-445750,191035
CID-44549251,191036
CID-444727,191037
CID-5473007,191038
CID-52940642,191039
CID-23725087,191040
CID-9960931,191041
CID-131704254,191042
CID-448009,191043
CID-19096426,191044
CID-46888088,191045
CID-46233458,191046
CID-107757,191047
CID-45487805,191048
CID-44427384,191049
CID-10391971,191050
CID-11713852,191051
CID-44388044,191052
CID-6436406,191053
CID-44373281,191054
CID-44427184,191055
CID-11963503,191056
CID-15983958,191057
CID-9829012,191058
CID-6539811,191059
CID-62893,191060
CID-14343219,191061
CID-4628,191062
CID-262319,191063
CID-7462300,191064
CID-56599293,191065
CID-5281055,191066
CID-16665072,191067
CID-5367559,191068
CID-35370,191069
CID-23661969,191070
CID-20843156,191071
CID-9877750,191072
CID-5459861,191073
CID-15282960,191074
CID-46918944,191075
CID-75107,191076
CID-46222046,191077
CID-11611423,191078
CID-9936595,191079
CID-24780598,191080
CID-15079632,191081
CID-5288878,191082
CID-46216805,191083
CID-6403448,191084
CID-16221557,191085
CID-16020046,191086
CID-10491078,191087
CID-449169,191088
CID-49855250,191089
CID-25011729,191090
CID-13746840,191091
CID-9806449,191092
CID-56840947,191093
CID-9842188,191094
CID-11651456,191095
CID-24748051,191096
CID-44562726,191097
CID-1712706,191098
CID-441975,191099
CID-5283906,191100
CID-9808225,191101
CID-6274,191102
CID-657237,191103
CID-204109,191104
CID-60542,191105
CID-5311238,191106
CID-6918410,191107
CID-1282,191108
CID-54210200,191109
CID-44460502,191110
CID-44400322,191111
CID-11688794,191112
CID-11150126,191113
CID-2857838,191114
CID-23643976,191115
CID-44416422,191116
CID-14742545,191117
CID-44403591,191118
CID-9943996,191119
CID-157918,191120
CID-44418331,191121
CID-38103,191122
CID-16131186,191123
CID-16756626,191124
CID-46884059,191125
CID-25192475,191126
CID-23699047,191127
CID-44399737,191128
CID-4472113,191129
CID-9853654,191130
CID-58221375,191131
CID-208820,191132
CID-364705,191133
CID-11707715,191134
CID-11500273,191135
CID-25054652,191136
CID-15569631,191137
CID-5275843,191138
CID-55285412,191139
CID-44321093,191140
CID-44194645,191141
CID-24755069,191142
CID-136245517,191143
CID-9844338,191144
CID-56841792,191145
CID-11673174,191146
CID-517557,191147
CID-25129847,191148
CID-56947033,191149
CID-11514605,191150
CID-44567291,191151
CID-5288266,191152
CID-16040281,191153
CID-73755103,191154
CID-522325,191155
CID-11488979,191156
CID-11606145,191157
CID-24978486,191158
CID-16129703,191159
CID-16719764,191160
CID-46888588,191161
CID-44560061,191162
CID-44316621,191163
CID-6539774,191164
CID-10818542,191165
CID-12627221,191166
CID-11602388,191167
CID-9841864,191168
CID-11958319,191169
CID-46937108,191170
CID-68827,191171
CID-46242512,191172
CID-439236,191173
CID-23634171,191174
CID-44246267,191175
CID-9917905,191176
CID-5312142,191177
CID-10473365,191178
CID-961320,191179
CID-9317,191180
CID-52942470,191181
CID-9543521,191182
CID-6918836,191183
CID-9907086,191184
CID-53324619,191185
CID-4369,191186
CID-11175501,191187
CID-9921581,191188
CID-73754994,191189
CID-668105,191190
CID-44387499,191191
CID-5497171,191192
CID-23689269,191193
CID-76332060,191194
CID-657140,191195
CID-11680642,191196
CID-667550,191197
CID-5311344,191198
CID-72435,191199
CID-136653617,191200
CID-11505585,191201
CID-10040223,191202
CID-383414,191203
CID-9429,191204
CID-9917944,191205
CID-44426807,191206
CID-7088460,191207
CID-9810328,191208
CID-44591632,191209
CID-641786,191210
CID-6440763,191211
CID-17754078,191212
CID-3081087,191213
CID-5951796,191214
CID-44126037,191215
CID-5281773,191216
CID-13678327,191217
CID-44562814,191218
CID-5328803,191219
CID-16736710,191220
CID-5385144,191221
CID-6398444,191222
CID-44420671,191223
CID-23697158,191224
CID-6917970,191225
CID-49765077,191226
CID-115107,191227
CID-10631410,191228
CID-14309404,191229
CID-16110268,191230
CID-56842196,191231
CID-11529486,191232
CID-24901600,191233
CID-3820,191234
CID-46229705,191235
CID-44404892,191236
CID-440141,191237
CID-54670067,191238
CID-9817140,191239
CID-5328768,191240
CID-5071702,191241
CID-10114,191242
CID-15984072,191243
CID-5484463,191244
CID-177941,191245
CID-25062609,191246
CID-11974340,191247
CID-3038495,191248
CID-73755079,191249
CID-11625520,191250
CID-11267381,191251
CID-132425,191252
CID-16720954,191253
CID-17753979,191254
CID-24847878,191255
CID-286,191256
CID-10354661,191257
CID-11442891,191258
CID-44408683,191259
CID-17754173,191260
CID-24822784,191261
CID-445736,191262
CID-16129582,191263
CID-19049158,191264
CID-86277840,191265
CID-44418280,191266
CID-54892,191267
CID-22850133,191268
CID-44407389,191269
CID-44568318,191270
CID-52944229,191271
CID-162184,191272
CID-5486684,191273
CID-15558638,191274
CID-46937142,191275
CID-131704203,191276
CID-44315612,191277
CID-9577221,191278
CID-23724922,191279
CID-23659732,191280
CID-24971238,191281
CID-73755252,191282
CID-2235217,191283
CID-6439330,191284
CID-10380885,191285
CID-18407230,191286
CID-2763923,191287
CID-15691792,191288
CID-44607360,191289
CID-2164,191290
CID-44413117,191291
CID-459617,191292
CID-44397465,191293
CID-20298212,191294
CID-11652153,191295
CID-57370228,191296
CID-18976091,191297
CID-17754027,191298
CID-44445082,191299
CID-5280954,191300
CID-15942652,191301
CID-5281071,191302
CID-3410100,191303
CID-44331204,191304
CID-84773,191305
CID-73755034,191306
CID-9803828,191307
CID-23724863,191308
CID-46936391,191309
CID-12701751,191310
CID-2773172,191311
CID-44417452,191312
CID-16041426,191313
CID-44450494,191314
CID-11056106,191315
CID-16115012,191316
CID-45488072,191317
CID-50909125,191318
CID-10039361,191319
CID-24866443,191320
CID-10993014,191321
CID-5289555,191322
CID-11830866,191323
CID-25209788,191324
CID-56947048,191325
CID-44387153,191326
CID-10399068,191327
CID-6474640,191328
CID-15959119,191329
CID-46233181,191330
CID-101616,191331
CID-46937060,191332
CID-11276222,191333
CID-11680763,191334
CID-44407578,191335
CID-447655,191336
CID-25014697,191337
CID-46937133,191338
CID-44299129,191339
CID-44405867,191340
CID-44306087,191341
CID-44275813,191342
CID-52942744,191343
CID-208911,191344
CID-441477,191345
CID-5287869,191346
CID-49837499,191347
CID-44543266,191348
CID-44563957,191349
CID-71553154,191350
CID-44386557,191351
CID-25099145,191352
CID-50876172,191353
CID-11314340,191354
CID-44428818,191355
CID-64048,191356
CID-44563417,191357
CID-12082259,191358
CID-5479537,191359
CID-44397277,191360
CID-44588139,191361
CID-3651377,191362
CID-5731657,191363
CID-23400214,191364
CID-9841421,191365
CID-24748735,191366
CID-11954380,191367
CID-46901616,191368
CID-24750,191369
CID-10707190,191370
CID-46883775,191371
CID-44315688,191372
CID-44432673,191373
CID-6324638,191374
CID-3656761,191375
CID-44584782,191376
CID-44585949,191377
CID-25078242,191378
CID-24798741,191379
CID-15338746,191380
CID-11954381,191381
CID-708857,191382
CID-44354270,191383
CID-688272,191384
CID-44388050,191385
CID-11650194,191386
CID-44201346,191387
CID-11281523,191388
CID-9838712,191389
CID-19826721,191390
CID-5276503,191391
CID-44316307,191392
CID-9804326,191393
CID-6255,191394
CID-23647689,191395
CID-11174891,191396
CID-10143056,191397
CID-10822243,191398
CID-71300872,191399
CID-9928397,191400
CID-44429299,191401
CID-10240978,191402
CID-9939109,191403
CID-5844100,191404
CID-23643874,191405
CID-131704305,191406
CID-46906614,191407
CID-44409436,191408
CID-11460438,191409
CID-44591583,191410
CID-10811352,191411
CID-21066087,191412
CID-16760302,191413
CID-3036289,191414
CID-45103811,191415
CID-71230,191416
CID-44366123,191417
CID-4401,191418
CID-57340715,191419
CID-24749270,191420
CID-6857686,191421
CID-56961879,191422
CID-44407801,191423
CID-9806160,191424
CID-10336926,191425
CID-9064,191426
CID-53326686,191427
CID-44396203,191428
CID-24901630,191429
CID-10520673,191430
CID-7045767,191431
CID-44578696,191432
CID-210320,191433
CID-9849699,191434
CID-46845425,191435
CID-28125549,191436
CID-4183640,191437
CID-25181409,191438
CID-439202,191439
CID-181137,191440
CID-9823503,191441
CID-11220562,191442
CID-135087198,191443
CID-54760053,191444
CID-44341439,191445
CID-6918278,191446
CID-44420298,191447
CID-6604121,191448
CID-25065929,191449
CID-5119267,191450
CID-443936,191451
CID-44430859,191452
CID-44540845,191453
CID-5975975,191454
CID-9872609,191455
CID-11701820,191456
CID-44456090,191457
CID-9802572,191458
CID-9900598,191459
CID-146266,191460
CID-24832027,191461
CID-6112,191462
CID-2733079,191463
CID-46891015,191464
CID-5462306,191465
CID-44592119,191466
CID-3383616,191467
CID-688561,191468
CID-11821337,191469
CID-6918030,191470
CID-9926999,191471
CID-13439250,191472
CID-92722,191473
CID-6321418,191474
CID-213517,191475
CID-44300061,191476
CID-44390359,191477
CID-25021170,191478
CID-73755207,191479
CID-24768203,191480
CID-10384734,191481
CID-10308206,191482
CID-14956545,191483
CID-9930049,191484
CID-44407137,191485
CID-449362,191486
CID-44624061,191487
CID-82313,191488
CID-11702714,191489
CID-73755228,191490
CID-45482707,191491
CID-487412,191492
CID-12394434,191493
CID-19689034,191494
CID-23627032,191495
CID-44400194,191496
CID-44422921,191497
CID-22316981,191498
CID-44191463,191499
CID-130792,191500
CID-71602803,191501
CID-63044,191502
CID-637090,191503
CID-44407387,191504
CID-28864,191505
CID-444450,191506
CID-44434729,191507
CID-13266247,191508
CID-6438353,191509
CID-25054398,191510
CID-10255841,191511
CID-73440,191512
CID-44388197,191513
CID-44428830,191514
CID-12169810,191515
CID-42641861,191516
CID-135464491,191517
CID-53380924,191518
CID-52946272,191519
CID-11493677,191520
CID-666034,191521
CID-14026656,191522
CID-10468166,191523
CID-44456146,191524
CID-2157,191525
CID-159296,191526
CID-44423684,191527
CID-6918107,191528
CID-5289347,191529
CID-448875,191530
CID-447573,191531
CID-9815374,191532
CID-44569287,191533
CID-65028,191534
CID-5287864,191535
CID-42625618,191536
CID-6539367,191537
CID-3017356,191538
CID-56840673,191539
CID-54676478,191540
CID-9863791,191541
CID-5311111,191542
CID-44572357,191543
CID-66577012,191544
CID-46933990,191545
CID-443363,191546
CID-67116280,191547
CID-24743975,191548
CID-6605258,191549
CID-44584947,191550
CID-146782,191551
CID-90642938,191552
CID-378420,191553
CID-21236,191554
CID-73010930,191555
CID-13379482,191556
CID-16082758,191557
CID-16083058,191558
CID-23653532,191559
CID-5288783,191560
CID-53276,191561
CID-11505541,191562
CID-6914609,191563
CID-5311211,191564
CID-5486554,191565
CID-9806489,191566
CID-5322065,191567
CID-5351154,191568
CID-2837872,191569
CID-16155593,191570
CID-11710246,191571
CID-11834987,191572
CID-14584,191573
CID-73755094,191574
CID-14896613,191575
CID-46884114,191576
CID-44407682,191577
CID-45270599,191578
CID-10053205,191579
CID-9848499,191580
CID-118169620,191581
CID-11645313,191582
CID-60151477,191583
CID-5494436,191584
CID-10308207,191585
CID-22297,191586
CID-54669868,191587
CID-10125182,191588
CID-9798466,191589
CID-6140247,191590
CID-5287448,191591
CID-3045414,191592
CID-9600423,191593
CID-1396,191594
CID-44316656,191595
CID-44234912,191596
CID-9918559,191597
CID-44243460,191598
CID-44560632,191599
CID-11693641,191600
CID-10056140,191601
CID-24860511,191602
CID-396060,191603
CID-44439870,191604
CID-4369491,191605
CID-15840592,191606
CID-44428652,191607
CID-9996081,191608
CID-11608346,191609
CID-448953,191610
CID-404378,191611
CID-44422489,191612
CID-44352887,191613
CID-10565073,191614
CID-44429264,191615
CID-5329098,191616
CID-17753820,191617
CID-5352062,191618
CID-6021,191619
CID-10432339,191620
CID-44187953,191621
CID-5467477,191622
CID-44415282,191623
CID-11195892,191624
CID-89435,191625
CID-86277841,191626
CID-44388655,191627
CID-596810,191628
CID-44455839,191629
CID-44154916,191630
CID-39147,191631
CID-439444,191632
CID-11539096,191633
CID-25140171,191634
CID-10192794,191635
CID-44305900,191636
CID-5327045,191637
CID-440989,191638
CID-11847317,191639
CID-56603760,191640
CID-9908595,191641
CID-441243,191642
CID-24866616,191643
CID-10609842,191644
CID-9574101,191645
CID-11450099,191646
CID-7090494,191647
CID-44407565,191648
CID-118115473,191649
CID-44435217,191650
CID-44401799,191651
CID-16758210,191652
CID-14101447,191653
CID-6227,191654
CID-118029202,191655
CID-23665438,191656
CID-11361892,191657
CID-6539819,191658
CID-11821974,191659
CID-35935,191660
CID-9902100,191661
CID-5791881,191662
CID-44306132,191663
CID-44565202,191664
CID-10265642,191665
CID-14479837,191666
CID-23700,191667
CID-44343425,191668
CID-11220728,191669
CID-449459,191670
CID-44407372,191671
CID-5280893,191672
CID-10305301,191673
CID-23327627,191674
CID-10540663,191675
CID-447815,191676
CID-44583992,191677
CID-19077549,191678
CID-154257,191679
CID-2808977,191680
CID-68788,191681
CID-253602,191682
CID-262093,191683
CID-7067728,191684
CID-234102,191685
CID-73755197,191686
CID-44440707,191687
CID-10609349,191688
CID-44251145,191689
CID-6323375,191690
CID-8226,191691
CID-49836719,191692
CID-44456127,191693
CID-3772,191694
CID-44436068,191695
CID-12000240,191696
CID-124663,191697
CID-5312120,191698
CID-91827362,191699
CID-9845197,191700
CID-11717289,191701
CID-12269106,191702
CID-10454732,191703
CID-42611736,191704
CID-46936260,191705
CID-9901869,191706
CID-44186304,191707
CID-414707,191708
CID-9953485,191709
CID-10296561,191710
CID-16736675,191711
CID-9794137,191712
CID-24748204,191713
CID-5437,191714
CID-5388781,191715
CID-44269000,191716
CID-25044690,191717
CID-9750,191718
CID-53600,191719
CID-5283731,191720
CID-16143658,191721
CID-162501,191722
CID-10909908,191723
CID-1342,191724
CID-11379392,191725
CID-46882848,191726
CID-3901842,191727
CID-11287722,191728
CID-44629556,191729
CID-9943757,191730
CID-6852168,191731
CID-44629555,191732
CID-10568747,191733
CID-3119329,191734
CID-131704200,191735
CID-6262,191736
CID-9831652,191737
CID-10082995,191738
CID-44548240,191739
CID-10287730,191740
CID-44434736,191741
CID-73755009,191742
CID-9964493,191743
CID-6013,191744
CID-44452397,191745
CID-46906168,191746
CID-44454650,191747
CID-443118,191748
CID-16203431,191749
CID-91895235,191750
CID-15691796,191751
CID-16221266,191752
CID-24884694,191753
CID-92536013,191754
CID-45482341,191755
CID-5289469,191756
CID-198757,191757
CID-46918725,191758
CID-446195,191759
CID-72281,191760
CID-24861080,191761
CID-5496715,191762
CID-5388906,191763
CID-10413997,191764
CID-9908776,191765
CID-11347708,191766
CID-21944094,191767
CID-11652296,191768
CID-46232079,191769
CID-6540055,191770
CID-91865905,191771
CID-71661251,191772
CID-44563410,191773
CID-44390663,191774
CID-10904818,191775
CID-21879702,191776
CID-6852220,191777
CID-16109446,191778
CID-53315878,191779
CID-5321398,191780
CID-247908,191781
CID-11993867,191782
CID-44576247,191783
CID-9935073,191784
CID-44396714,191785
CID-6539760,191786
CID-57533,191787
CID-44432689,191788
CID-11315337,191789
CID-10428383,191790
CID-11953891,191791
CID-94352,191792
CID-11159621,191793
CID-25208598,191794
CID-439655,191795
CID-5352019,191796
CID-45263885,191797
CID-15942677,191798
CID-5311035,191799
CID-44263483,191800
CID-360578,191801
CID-11319217,191802
CID-9872735,191803
CID-44428109,191804
CID-44585510,191805
CID-44409490,191806
CID-44432665,191807
CID-73755021,191808
CID-4641099,191809
CID-46888045,191810
CID-354471,191811
CID-3033825,191812
CID-2724385,191813
CID-695069,191814
CID-1549000,191815
CID-11953931,191816
CID-135564966,191817
CID-3092218,191818
CID-11614485,191819
CID-6918070,191820
CID-577347,191821
CID-46943437,191822
CID-73755027,191823
CID-16116088,191824
CID-11219269,191825
CID-22554906,191826
CID-445211,191827
CID-10427648,191828
CID-44413203,191829
CID-10402001,191830
CID-466289,191831
CID-44357137,191832
CID-23954,191833
CID-11673778,191834
CID-77575,191835
CID-44521012,191836
CID-25192455,191837
CID-71346,191838
CID-5353634,191839
CID-25154730,191840
CID-11608117,191841
CID-65926,191842
CID-21226412,191843
CID-44450366,191844
CID-44420924,191845
CID-10303232,191846
CID-16768198,191847
CID-54841,191848
CID-68570,191849
CID-24750192,191850
CID-91827360,191851
CID-3797,191852
CID-44407495,191853
CID-44562812,191854
CID-44285245,191855
CID-24763223,191856
CID-6918647,191857
CID-44577329,191858
CID-1548972,191859
CID-441300,191860
CID-93205,191861
CID-11861988,191862
CID-44220886,191863
CID-5894,191864
CID-701990,191865
CID-446871,191866
CID-644215,191867
CID-166562,191868
CID-644282,191869
CID-26945,191870
CID-5284569,191871
CID-44408526,191872
CID-6852210,191873
CID-9899450,191874
CID-44387190,191875
CID-70678590,191876
CID-11390419,191877
CID-139311,191878
CID-104625,191879
CID-24950552,191880
CID-11226090,191881
CID-5287415,191882
CID-5283468,191883
CID-44626540,191884
CID-25015710,191885
CID-5287789,191886
CID-9991046,191887
CID-11711595,191888
CID-447249,191889
CID-9851770,191890
CID-59234231,191891
CID-44418917,191892
CID-44419758,191893
CID-23665941,191894
CID-71203,191895
CID-59107184,191896
CID-44566054,191897
CID-6450823,191898
CID-11152527,191899
CID-34359,191900
CID-11624425,191901
CID-14803041,191902
CID-15993,191903
CID-24803482,191904
CID-24749271,191905
CID-447508,191906
CID-49862277,191907
CID-24785956,191908
CID-3027265,191909
CID-44408224,191910
CID-24752837,191911
CID-6439372,191912
CID-9817405,191913
CID-132937,191914
CID-5283454,191915
CID-10037815,191916
CID-60182364,191917
CID-44268050,191918
CID-44435201,191919
CID-11683,191920
CID-44456331,191921
CID-10198700,191922
CID-21707121,191923
CID-53384841,191924
CID-46229306,191925
CID-688267,191926
CID-118986,191927
CID-3473839,191928
CID-44302712,191929
CID-447733,191930
CID-4738744,191931
CID-11398092,191932
CID-44575384,191933
CID-17755104,191934
CID-17753851,191935
CID-51435905,191936
CID-86287635,191937
CID-46865217,191938
CID-11380189,191939
CID-11772958,191940
CID-131704227,191941
CID-132494168,191942
CID-94280,191943
CID-5287461,191944
CID-17754396,191945
CID-178030,191946
CID-5283560,191947
CID-9998020,191948
CID-6918204,191949
CID-19077552,191950
CID-24180720,191951
CID-5311000,191952
CID-24827641,191953
CID-148879,191954
CID-5300214,191955
CID-25129117,191956
CID-11616411,191957
CID-44568939,191958
CID-44577349,191959
CID-44320997,191960
CID-11976535,191961
CID-3699841,191962
CID-24770445,191963
CID-5288674,191964
CID-119195,191965
CID-164234,191966
CID-44565206,191967
CID-11708276,191968
CID-6918225,191969
CID-73386890,191970
CID-3080966,191971
CID-53569,191972
CID-21862753,191973
CID-5311217,191974
CID-4551,191975
CID-11646823,191976
CID-44412124,191977
CID-10918703,191978
CID-10025114,191979
CID-11845975,191980
CID-44453269,191981
CID-44388656,191982
CID-44369523,191983
CID-44434950,191984
CID-44413847,191985
CID-445032,191986
CID-44456463,191987
CID-46887248,191988
CID-10001434,191989
CID-25195974,191990
CID-4149241,191991
CID-11323162,191992
CID-373149,191993
CID-44388042,191994
CID-44412118,191995
CID-2457,191996
CID-11074644,191997
CID-10171487,191998
CID-216249,191999
CID-44450379,192000
CID-124091040,192001
CID-51998,192002
CID-44331325,192003
CID-44449741,192004
CID-45487600,192005
CID-6005,192006
CID-10858440,192007
CID-44407376,192008
CID-9578063,192009
CID-2838196,192010
CID-5368,192011
CID-25128814,192012
