gene,map
Entrez-51123,318
Entrez-79862,319
Entrez-442867,320
Entrez-392509,321
Entrez-54760,322
Entrez-10978,323
Entrez-10557,324
Entrez-51805,325
Entrez-79847,326
Entrez-284080,327
Entrez-8480,328
Entrez-90288,329
Entrez-100287015,330
Entrez-118472,331
Entrez-196,332
Entrez-26508,333
Entrez-100302159,334
Entrez-148808,335
Entrez-100616307,336
Entrez-3037,337
Entrez-116,338
Entrez-255631,339
Entrez-55776,340
Entrez-92797,341
Entrez-25996,342
Entrez-51440,343
Entrez-120071,344
Entrez-92609,345
Entrez-2967,346
Entrez-283635,347
Entrez-8314,348
Entrez-7379,349
Entrez-25902,350
Entrez-22832,351
Entrez-23143,352
Entrez-80328,353
Entrez-146223,354
Entrez-389384,355
Entrez-28231,356
Entrez-440034,357
Entrez-219793,358
Entrez-100616493,359
Entrez-2987,360
Entrez-55038,361
Entrez-642976,362
Entrez-10578,363
Entrez-115584,364
Entrez-7187,365
Entrez-3840,366
Entrez-51751,367
Entrez-9987,368
Entrez-8975,369
Entrez-1029,370
Entrez-51018,371
Entrez-145165,372
Entrez-23341,373
Entrez-442900,374
Entrez-57827,375
Entrez-7173,376
Entrez-8974,377
Entrez-27019,378
Entrez-5441,379
Entrez-55801,380
Entrez-1186,381
Entrez-63894,382
Entrez-6955,383
Entrez-100302259,384
Entrez-84901,385
Entrez-27239,386
Entrez-7993,387
Entrez-100128252,388
Entrez-57474,389
Entrez-4146,390
Entrez-2872,391
Entrez-8398,392
Entrez-57520,393
Entrez-388325,394
Entrez-9723,395
Entrez-10139,396
Entrez-100506963,397
Entrez-79155,398
Entrez-128178,399
Entrez-132,400
Entrez-23338,401
Entrez-26234,402
Entrez-26056,403
Entrez-865,404
Entrez-9149,405
Entrez-57466,406
Entrez-677794,407
Entrez-8987,408
Entrez-50515,409
Entrez-51335,410
Entrez-4018,411
Entrez-54575,412
Entrez-29079,413
Entrez-100133121,414
Entrez-126298,415
Entrez-121278,416
Entrez-403273,417
Entrez-100129550,418
Entrez-389643,419
Entrez-10248,420
Entrez-23495,421
Entrez-8418,422
Entrez-85285,423
Entrez-2793,424
Entrez-388649,425
Entrez-128367,426
Entrez-644649,427
Entrez-100033801,428
Entrez-100287718,429
Entrez-339344,430
Entrez-8913,431
Entrez-347735,432
Entrez-56606,433
Entrez-144360,434
Entrez-441024,435
Entrez-100507217,436
Entrez-83935,437
Entrez-162962,438
Entrez-64215,439
Entrez-140458,440
Entrez-51428,441
Entrez-3691,442
Entrez-3958,443
Entrez-55164,444
Entrez-420,445
Entrez-9885,446
Entrez-11155,447
Entrez-3355,448
Entrez-8970,449
Entrez-84100,450
Entrez-100313839,451
Entrez-196528,452
Entrez-100423030,453
Entrez-51603,454
Entrez-100628560,455
Entrez-100616207,456
Entrez-23366,457
Entrez-79969,458
Entrez-51115,459
Entrez-3311,460
Entrez-100129407,461
Entrez-8348,462
Entrez-92014,463
Entrez-26749,464
Entrez-5036,465
Entrez-51094,466
Entrez-29072,467
Entrez-392391,468
Entrez-222865,469
Entrez-100616495,470
Entrez-157285,471
Entrez-7151,472
Entrez-313,473
Entrez-57591,474
Entrez-6759,475
Entrez-26301,476
Entrez-58527,477
Entrez-2746,478
Entrez-50855,479
Entrez-126129,480
Entrez-3416,481
Entrez-4817,482
Entrez-26070,483
Entrez-57818,484
Entrez-9334,485
Entrez-9848,486
Entrez-165324,487
Entrez-116844,488
Entrez-53834,489
Entrez-327,490
Entrez-2948,491
Entrez-401409,492
Entrez-1432,493
Entrez-221241,494
Entrez-51014,495
Entrez-81788,496
Entrez-80726,497
Entrez-166785,498
Entrez-100526771,499
Entrez-54657,500
Entrez-11238,501
Entrez-100616214,502
Entrez-222584,503
Entrez-693233,504
Entrez-345456,505
Entrez-2800,506
Entrez-164684,507
Entrez-3786,508
Entrez-959,509
Entrez-388566,510
Entrez-9489,511
Entrez-55646,512
Entrez-26239,513
Entrez-100302111,514
Entrez-2299,515
Entrez-64320,516
Entrez-100616372,517
Entrez-100302190,518
Entrez-57706,519
Entrez-57369,520
Entrez-2196,521
Entrez-3211,522
Entrez-100526825,523
Entrez-111089941,524
Entrez-10438,525
Entrez-51132,526
Entrez-7982,527
Entrez-285672,528
Entrez-440533,529
Entrez-10053,530
Entrez-85007,531
Entrez-136991,532
Entrez-389337,533
Entrez-79415,534
Entrez-94235,535
Entrez-79891,536
Entrez-664,537
Entrez-4920,538
Entrez-402415,539
Entrez-4726,540
Entrez-100302121,541
Entrez-285605,542
Entrez-3883,543
Entrez-79692,544
Entrez-51366,545
Entrez-2099,546
Entrez-1953,547
Entrez-84277,548
Entrez-80329,549
Entrez-7385,550
Entrez-406991,551
Entrez-285224,552
Entrez-199786,553
Entrez-132112,554
Entrez-100302287,555
Entrez-80124,556
Entrez-27075,557
Entrez-1297,558
Entrez-337959,559
Entrez-81442,560
Entrez-375196,561
Entrez-80267,562
Entrez-56889,563
Entrez-4026,564
Entrez-257396,565
Entrez-2252,566
Entrez-1725,567
Entrez-10135,568
Entrez-389812,569
Entrez-116447,570
Entrez-3699,571
Entrez-7203,572
Entrez-57594,573
Entrez-23299,574
Entrez-79081,575
Entrez-8666,576
Entrez-374387,577
Entrez-84229,578
Entrez-339488,579
Entrez-55847,580
Entrez-5525,581
Entrez-147727,582
Entrez-1992,583
Entrez-81490,584
Entrez-340385,585
Entrez-84852,586
Entrez-100873778,587
Entrez-63893,588
Entrez-693199,589
Entrez-337973,590
Entrez-158405,591
Entrez-829,592
Entrez-7568,593
Entrez-54873,594
Entrez-7223,595
Entrez-58492,596
Entrez-123096,597
Entrez-22974,598
Entrez-83707,599
Entrez-1454,600
Entrez-169166,601
Entrez-9210,602
Entrez-2995,603
Entrez-92312,604
Entrez-79685,605
Entrez-5313,606
Entrez-79811,607
Entrez-219654,608
Entrez-611,609
Entrez-27098,610
Entrez-8839,611
Entrez-55388,612
Entrez-5873,613
Entrez-9643,614
Entrez-285498,615
Entrez-767846,616
Entrez-23554,617
Entrez-10244,618
Entrez-9358,619
Entrez-257144,620
Entrez-22802,621
Entrez-115653,622
Entrez-406941,623
Entrez-163732,624
Entrez-23762,625
Entrez-100874208,626
Entrez-6817,627
Entrez-100500838,628
Entrez-644838,629
Entrez-51374,630
Entrez-23209,631
Entrez-399668,632
Entrez-57156,633
Entrez-2653,634
Entrez-51585,635
Entrez-167127,636
Entrez-51596,637
Entrez-10103,638
Entrez-2658,639
Entrez-10951,640
Entrez-100302276,641
Entrez-1317,642
Entrez-26118,643
Entrez-100500879,644
Entrez-57408,645
Entrez-9355,646
Entrez-406913,647
Entrez-7322,648
Entrez-345643,649
Entrez-10621,650
Entrez-90441,651
Entrez-828,652
Entrez-2622,653
Entrez-5094,654
Entrez-388701,655
Entrez-123,656
Entrez-55512,657
Entrez-163,658
Entrez-1174,659
Entrez-163071,660
Entrez-677822,661
Entrez-56477,662
Entrez-7586,663
Entrez-254228,664
Entrez-100616304,665
Entrez-5270,666
Entrez-9241,667
Entrez-404266,668
Entrez-8759,669
Entrez-93643,670
Entrez-2893,671
Entrez-4498,672
Entrez-7320,673
Entrez-9796,674
Entrez-51435,675
Entrez-79085,676
Entrez-100302256,677
Entrez-1962,678
Entrez-158131,679
Entrez-2976,680
Entrez-375757,681
Entrez-8555,682
Entrez-100313771,683
Entrez-406912,684
Entrez-286023,685
Entrez-168850,686
Entrez-3039,687
Entrez-115650,688
Entrez-163882,689
Entrez-2297,690
Entrez-7386,691
Entrez-145438,692
Entrez-153396,693
Entrez-128497,694
Entrez-728911,695
Entrez-113157,696
Entrez-100310812,697
Entrez-23467,698
Entrez-8446,699
Entrez-26018,700
Entrez-122970,701
Entrez-7290,702
Entrez-7584,703
Entrez-9515,704
Entrez-5816,705
Entrez-32,706
Entrez-100874032,707
Entrez-2861,708
Entrez-57176,709
Entrez-221613,710
Entrez-81611,711
