drug_pubchemcid,disease_icd10
62782,204371
119340,208188
119340,207643
98580,204480
159149,205123
195162,207260
195162,206342
195162,208419
195162,205127
193803,207897
66335,207894
197426,204522
197426,203343
197426,206630
197426,205161
197426,205776
197426,204971
197426,206506
197426,205936
197426,208645
197426,206393
197426,203923
197426,206846
197426,204554
197426,205664
197426,206399
197426,204777
197426,207526
123798,206451
97833,207015
97833,207450
48866,205942
118441,208008
195587,204630
50104,204974
36138,204303
179007,204673
179007,207471
179007,207239
179007,207323
179007,208076
179007,205186
179007,204139
179007,208089
179007,207704
58520,204673
58520,207471
58520,207239
58520,207323
58520,208076
58520,205186
58520,204139
58520,208089
58520,207704
200760,204800
200760,206410
200760,208354
200760,203529
200760,207802
200760,205657
200760,208145
200760,204285
200760,207038
200760,208782
200760,204192
200760,203404
200760,207768
200760,208272
200760,205370
200760,208060
200760,208452
200760,206218
200760,207018
200760,205479
200760,203893
200760,208703
200760,205225
200760,206040
200760,204171
200760,208589
200760,205488
200760,207415
200760,208110
200760,206202
200760,207952
200760,207268
200760,205069
200760,204365
200760,204342
200760,205490
200760,205545
200760,204166
200760,207763
200696,205857
200696,204566
200696,207361
200696,203841
200696,205363
200696,205947
200696,205213
200696,205045
200696,204710
200696,207845
200696,203719
200696,204681
200696,207504
196017,208299
199760,204159
35732,204954
179651,204410
201402,205277
201402,208710
201402,205575
199339,208602
199339,207434
56299,208008
56299,204856
107316,203864
200226,203551
86624,205395
86624,206386
86624,207543
86624,203550
86624,208064
86624,208568
99607,206744
184483,204794
184483,207446
195223,207446
200477,206241
68798,206617
68798,205652
191525,208282
171530,207580
135308,204522
135308,203343
135308,206630
135308,205161
135308,205776
135308,204971
135308,206506
135308,205936
135308,208645
135308,206393
135308,203923
135308,206846
135308,204554
135308,205664
135308,206399
135308,204777
130423,206872
60630,207260
60630,206342
60630,208419
60630,205127
119806,206086
191290,204458
191290,208778
124348,204386
124348,205722
124348,203995
124348,204548
124348,207036
124348,205979
124348,206901
124348,207102
124348,203886
124348,207173
124348,204649
190416,207260
190416,206342
190416,208419
190416,205127
178914,206846
185466,205857
185466,204566
185466,207361
185466,203841
185466,205363
185466,205947
185466,205213
185466,205045
185466,204710
185466,207845
185466,203719
185466,204681
185466,207504
127816,208497
162762,204056
32714,204630
54999,204751
167689,207332
188532,205127
147036,207015
147036,207450
190354,207015
190354,207450
162854,207228
192761,206729
197454,208498
158408,208097
192006,203608
153633,203391
153633,207303
153633,208213
153633,204423
153633,204390
200270,203453
194978,206780
138925,207578
172480,204480
172480,204458
172480,208778
188356,206086
166922,207706
166922,205020
166922,203481
166922,204422
166922,204790
166922,204544
166922,206397
166922,205650
166922,208634
166922,208374
166922,205373
166922,207163
166922,208596
166922,206267
166922,204398
166922,205687
166922,203703
166922,208512
166922,208756
166922,204858
166922,205166
166922,206085
166922,203690
166922,203898
166922,206740
200241,205942
169080,207580
135459,206242
135459,203899
135459,203539
135459,207386
135459,207348
135459,203856
135459,207621
135459,206786
135459,208267
135459,208111
135459,208251
135459,206068
135459,204838
135459,205940
135459,204014
135459,206271
135459,206912
135459,204310
135459,204978
135459,205359
135459,205245
135459,204798
135459,204298
135459,204780
135459,206377
135459,208324
135459,205732
135459,204524
135459,205568
135459,204581
135459,208497
135459,204287
135459,204872
135459,205459
135459,207182
135459,205097
135459,205585
135459,203538
135459,205933
135459,205461
135459,207619
135459,205427
135459,205672
135459,207318
135459,204837
135459,206407
135459,206070
135459,206984
135459,204385
135459,206051
135459,207929
135459,203891
135459,204196
135459,204584
135459,206804
135459,206970
135459,203312
135459,206063
135459,206641
135459,208392
135459,208809
135459,203629
135459,205234
135459,206993
135459,206716
135459,207626
135459,203806
135459,208813
135459,205949
188192,205248
81561,208497
196571,204386
196571,205722
196571,203995
196571,204548
196571,207036
196571,205979
196571,206901
196571,207102
196571,203886
196571,207173
196571,204649
90777,204386
90777,205722
90777,203995
90777,204548
90777,207036
90777,205979
90777,206901
90777,207102
90777,203886
90777,207173
90777,204649
35686,207332
185243,203784
115008,207228
61415,206830
61415,204937
61415,206268
61415,204604
61415,207015
61415,207450
61415,204909
189743,204909
61415,204270
189743,204270
61415,208151
189743,208151
61415,203671
189743,203671
61415,205277
189743,205277
61415,208710
189743,208710
61415,205575
189743,205575
61415,207268
189743,207268
61415,207930
189743,207930
61415,205370
189743,205370
61415,204238
189743,204238
61415,207566
189743,207566
61415,204229
189743,204229
61415,205490
189743,205490
61415,208589
189743,208589
61415,204149
189743,204149
61415,206814
189743,206814
61415,207424
189743,207424
61415,206078
189743,206078
61415,208632
189743,208632
61415,205250
189743,205250
61415,207369
189743,207369
61415,205339
189743,205339
61415,207732
189743,207732
61415,204168
189743,204168
61415,203551
189743,203551
61415,204470
189743,204470
61415,207335
189743,207335
61415,203244
189743,203244
61415,204519
189743,204519
61415,203543
189743,203543
61415,206219
189743,206219
61415,206220
189743,206220
61415,208582
189743,208582
61415,206835
189743,206835
61415,207159
189743,207159
61415,203812
189743,203812
61415,208378
189743,208378
61415,203883
189743,203883
61415,205196
189743,205196
61415,208518
189743,208518
61415,204770
