drug_pubchemcid,target_entrez
193709,22159
192422,22159
200066,16094
200066,11739
94637,6294
189129,3019
200081,7921
197782,20592
200701,18974
201785,1277
187916,7032
189448,6893
201572,6893
124144,18664
48907,13559
147315,21745
147315,10209
198703,16740
117507,12046
191732,6428
195681,6428
188975,2589
201893,15099
201893,2589
197302,15099
197302,2589
201565,15099
201565,2589
197827,8801
197827,15099
197827,2589
190052,15099
190052,2589
199048,11309
190324,11309
193588,1561
198778,10116
188856,2500
87369,21787
87369,9812
189602,6294
198541,16916
201414,10399
192953,15099
192953,2589
135598,3566
196795,18664
196795,14016
190021,12858
199118,14736
199118,3844
195005,22159
194119,22159
196537,22159
199153,22159
189354,22159
187535,22159
189973,22159
198685,22159
198126,22159
198398,22159
202905,22159
200027,22159
196520,22159
191014,22159
192297,22159
193050,22159
198684,22159
200015,19802
201869,20592
189519,22100
191550,3752
199971,92
199971,750
197118,750
190446,12969
197979,14016
195359,4674
188950,19802
198967,19802
190398,19802
189581,19802
189117,19802
190465,19802
190279,19802
195230,19802
199698,19802
194757,19802
198446,19802
199552,19802
190481,19802
198501,19802
194302,2589
201462,6682
193488,19689
189615,6357
189615,4712
193392,20592
191349,20592
192949,20592
200785,20592
189141,20592
197713,20592
197120,20592
202411,20592
189826,22274
189826,12331
190096,12331
190096,18664
194126,22274
194126,12331
194126,7928
194126,4828
194146,13071
187921,1667
189193,1667
188022,18156
192187,2589
187905,2589
195544,2589
200973,18094
195417,10116
198521,501
198521,17082
195781,501
195781,17082
193579,501
193579,17082
192095,501
192095,17082
60802,5962
60802,768
103532,3492
103532,20593
201383,16649
201383,17074
201383,17367
32714,18827
195518,18588
195518,18183
195518,15477
195518,22152
195518,3492
194004,17685
194004,18094
188359,12969
192065,20272
192749,20272
61101,7557
61101,12609
61101,20923
61101,8136
61101,17685
61101,1518
61101,16828
192692,3587
193559,20313
193559,7032
199759,15099
197235,15099
193666,15099
196406,15099
198598,22159
194986,22159
198504,22159
191524,15099
189943,22159
194668,22159
195982,12699
188056,12699
195152,15099
191457,12699
196699,12699
58335,22159
195802,12699
194768,6245
194768,16264
200073,16264
198971,6245
198971,16264
115485,21813
198101,8801
198101,2589
187521,8801
187521,2589
200189,8801
200189,2589
192212,8801
192212,2589
187630,8801
187630,2589
126031,9042
201688,750
198037,750
200102,8801
200102,2589
99277,11309
193968,8801
196684,8801
189604,8801
190044,8801
188182,8801
192442,8801
201140,11133
193067,10166
193067,17050
193067,9158
187798,10166
187798,9158
200139,10166
200139,9158
188505,10166
188505,9158
199918,10166
199918,9158
196026,10166
196026,9158
194578,10166
194578,9158
195048,10166
195048,9158
200558,10166
200558,17050
200558,9158
198014,8801
198014,2589
201812,10399
198284,1556
198284,18124
188760,8801
188760,2589
191984,8801
191984,15099
191984,2589
188942,15099
188942,2589
200627,15517
199258,15517
189054,8801
189054,15099
189054,2589
200828,2589
192414,12585
190270,18156
198972,18156
189742,18156
194111,18156
194623,18664
191452,12858
196303,15099
195142,15099
195142,2589
201935,15099
201935,2589
197582,5962
191055,15099
