target_entrez,disease_icd10
4467,205427
20635,205427
1972,205427
16,205427
9540,205427
8092,205427
943,205427
7478,203394
21320,203469
21320,206395
16288,204827
9540,206407
16288,204737
1029,207580
17628,206218
3057,206218
3540,206218
9540,204604
374,207683
14123,203957
647,203608
13399,203608
10743,203608
9437,203608
17767,203608
10686,203608
16627,203608
14650,203608
18533,203608
647,206768
22021,206768
943,206768
551,205091
551,207358
17032,207580
1972,207580
10908,207580
21320,208245
13974,208245
187,208245
8020,208245
17032,207683
9095,207683
7763,207567
2019,207567
14123,207567
12619,207567
11873,207567
15301,207567
8092,207332
20741,207594
19862,208640
17207,208640
21500,204604
7478,207332
18730,207332
817,207332
5327,207332
13032,207332
1198,207332
1388,207332
17819,203469
17819,206395
9095,203469
9095,206395
6365,203469
6365,206395
21320,207332
17207,207332
22205,208205
21452,208205
13660,208205
12126,208205
21320,203249
7044,205221
8092,204994
14182,204994
18739,204994
19451,206407
3509,206407
9932,206407
12890,206089
18430,206089
11493,206089
18262,206089
13334,206181
3536,204604
187,204604
20635,204372
10743,207157
2558,207157
20635,208015
1972,206068
16,206068
9540,206068
1972,207908
9540,207908
187,207908
20635,206181
20635,207332
21320,205091
11484,204737
15156,204604
10908,204604
10722,204604
2856,207332
18830,208015
11664,208015
19414,208015
11755,204994
7527,207294
17649,204604
18830,204372
9540,205091
9095,207161
5009,207161
9540,204994
19389,203567
16091,203567
3614,203567
5398,203469
5398,206395
2861,208640
19903,204604
3619,204604
9545,205091
13903,205091
20623,205091
15024,203972
10686,208015
5009,208015
3614,208015
20623,208015
14123,208015
18262,208015
7803,204604
1029,207332
17447,206768
3614,206768
551,206768
14291,206768
18262,206768
9706,206768
12351,206768
3614,207683
13814,207009
9182,207009
7527,204994
13903,204994
3509,204994
551,204994
187,204994
8020,204994
15237,204994
21320,206910
21686,203972
7743,204861
7527,206289
19711,206289
13334,206289
799,206289
11813,206289
14291,206289
15554,206289
15694,204124
18730,207404
14123,207404
17906,207404
1786,206768
187,203249
9545,207567
17032,207567
11664,207567
13334,207567
11813,207567
17767,207567
43,207567
21320,204861
8881,204861
19821,208640
16288,208640
18815,203972
11664,203972
13334,203972
