chemical_pubchemcid,protein_entrez
65547,10362
185048,10362
162026,6434
91112,10362
115691,10362
36362,10362
48086,10362
164805,10362
65818,10362
165713,10362
158195,10362
162997,10362
38198,15099
161607,15099
134722,10362
50611,15517
147676,10362
169396,10362
59117,10362
42507,15099
128637,10362
122883,10362
154648,10362
177123,10362
57941,10362
130729,10362
68801,15482
47122,15517
66626,15482
100438,15482
58856,15482
27580,15517
59106,15099
156033,15517
145162,15517
29636,15482
102154,15482
89240,5431
89240,12858
89240,21982
48844,10362
165929,4427
43240,10362
47566,4427
168962,10362
29014,10362
93300,10362
23711,6268
87588,15482
163165,15482
75248,15482
184560,6268
148351,6268
96665,15517
29396,15482
132572,10362
119301,3999
65322,15517
119889,15482
95947,15482
171526,6268
73786,6268
104750,1492
102263,1492
118323,3999
118323,19339
185866,3999
68443,3999
111030,3999
111030,19339
133803,10362
24818,8801
24818,15099
24818,2589
71598,3999
118356,3999
167109,10362
91156,10362
105423,6214
129858,21761
187101,6214
93801,6214
112812,6214
105407,6214
154893,6214
97003,6214
23411,15482
73548,6210
73548,10879
104134,21761
131029,10362
115993,21761
158323,10362
181287,21761
186055,768
166710,1003
179217,19050
179217,3089
139805,1003
94349,1003
116427,1003
27992,1003
178106,3030
178106,20048
178106,8398
178106,18350
178106,10659
62212,1003
159377,8801
159377,15099
159377,2589
129134,8801
129134,15099
129134,2589
58394,16297
176048,1003
173554,13867
51624,13976
51624,6268
131271,13976
131271,6268
119343,10362
39332,10362
31290,10362
92880,259
186408,15204
186408,6214
186408,17271
186408,13643
186408,19779
128788,259
50787,12096
75885,11309
83037,3999
41772,12096
96636,4410
179161,21249
77284,10362
77284,13867
166431,10362
166431,13867
84106,10362
38518,8801
51272,8801
51272,2589
104806,3999
97192,12858
97192,8616
97192,21249
156567,10362
85550,10362
151160,10362
151160,13867
91762,12858
91762,21249
86293,21249
176983,12858
176983,8616
176983,21249
100097,10362
100097,13867
128258,10362
71762,10362
175740,12858
139939,12858
139939,8616
139939,21249
56373,12858
56373,21249
83869,12858
83869,21249
129256,5644
138006,5644
102442,12858
102442,21249
53634,10362
183178,12858
183178,21249
144879,12858
144879,21249
138910,10362
176860,5644
77682,17591
66890,17591
139135,8616
139135,21249
137748,177
38796,177
129572,177
88645,177
69131,177
179205,177
165014,177
126603,177
27261,17591
102998,8616
102998,21249
140754,17591
112070,177
115051,20313
160615,20313
137213,3999
96570,20313
77413,20313
115959,20313
169278,20313
169278,12811
139298,20313
139298,12811
149015,20313
149015,12811
87482,20313
87482,12811
123000,14074
130888,20313
130888,12811
161701,14074
58970,20313
47377,20313
99698,20313
124940,15832
102857,15832
80672,4410
80672,3999
109668,4410
109668,3999
169035,20313
126110,15832
174691,20313
174691,12811
49464,20313
120175,20313
42832,20313
26653,20313
26653,12811
150203,20313
55785,20313
55785,12811
61593,20313
61593,12811
111088,20313
120744,20313
120744,12811
95465,6024
74492,3999
171697,4410
171697,3999
155400,4410
155400,3999
54655,4410
54655,3999
69782,4410
69782,3999
121384,4410
121384,3999
46903,4410
46903,3999
61452,15832
142287,4410
142287,3999
37147,4410
37147,3999
90483,20313
90483,12811
119791,20313
106371,20313
133140,8801
65065,17591
119205,20046
161801,3019
43670,3019
100401,3019
59096,3019
175654,3019
183843,20046
152167,3019
186941,3019
101775,3019
63475,3019
168316,3019
71317,3019
101739,9927
163528,4712
112234,4712
56747,4712
133431,4712
149859,4712
81841,15482
107444,11133
97116,3019
156906,4354
124864,4354
177092,10222
94365,20161
60851,6214
163053,4410
163053,3999
92816,4410
92816,3999
128548,12963
128548,7470
98700,3999
164135,4410
164135,3999
102376,4410
102376,3999
117754,493
141685,493
47435,493
125260,493
131393,3999
77137,6214
142062,7337
142062,19042
142062,10884
142062,3678
57155,20313
33896,6214
148191,6214
64482,6214
158225,493
95792,6214
80271,6214
53598,493
67744,493
43272,6214
124160,493
54345,4410
54345,3999
73053,493
29038,21982
22790,18827
160053,5871
89691,10362
98327,5871
159507,10362
45082,10362
166189,10362
182209,10362
185137,10362
95390,17214
95826,19045
23700,2589
42148,3062
66151,3062
67277,2589
104363,2589
64863,2589
180963,6024
43312,6024
68423,6210
179531,10659
175640,10659
89377,17591
89377,14538
66412,10659
136287,17591
41689,17591
29390,768
56809,768
186985,17591
91029,17591
178332,17591
137236,17591
34704,18827
82690,768
128380,768
25720,17591
25720,14538
42449,18827
167865,768
151651,768
149440,18827
171849,17591
175131,768
62694,768
129844,21761
142141,546
108634,17591
58244,768
51352,768
117249,768
137591,768
99930,768
180850,18827
97958,768
80362,18827
139518,768
107604,8801
107604,15099
107604,2589
74430,8801
74430,15099
74430,2589
157910,8801
157910,15099
157910,2589
90886,8801
90886,15099
90886,2589
109046,15099
109046,2589
73071,768
48890,768
64237,768
159275,768
152718,5431
152718,12858
152718,21982
92064,8801
92064,15099
92064,2589
79276,8801
79276,15099
79276,2589
95005,2589
84751,8801
84751,15099
84751,2589
149146,8801
149146,15099
149146,2589
137225,8801
137225,2589
23253,8801
23253,2589
32059,8801
32059,15099
32059,2589
104798,8801
104798,15099
104798,2589
113012,8801
113012,15099
113012,2589
127343,8801
127343,15099
127343,2589
154340,8801
154340,15099
154340,2589
27110,8801
27110,15099
27110,2589
47986,8801
47986,15099
47986,2589
62729,8801
62729,15099
62729,2589
136644,8801
136644,15099
136644,2589
101512,15099
101512,2589
132728,14538
132728,3089
113279,6214
136246,5649
155835,5649
141903,5649
143755,12858
74054,15517
145683,5649
30265,12858
22718,5649
131435,5649
100971,5649
127220,5649
30101,15517
181803,6682
111880,12858
111880,8616
111880,21249
30116,17271
30116,13643
30116,19779
169996,8616
31429,15517
81104,8616
152465,5649
146355,8616
186506,12858
77583,12858
77583,8616
77583,21249
114741,5649
77127,10879
165695,16784
95364,16784
177979,6210
126342,6210
126342,10879
126342,6682
145650,8801
145650,2589
82452,16784
88065,16784
97384,8801
97384,2589
47243,16784
49622,8801
49622,2589
109192,18460
72536,6024
177207,12858
113821,12858
165040,12858
165040,6024
138876,7337
138876,19042
138876,10884
181934,12858
81379,12858
154074,12858
154074,6024
30916,12858
178244,12858
178244,6024
63949,20313
162778,6024
111754,12858
109402,12858
109402,6024
69446,19042
154232,9522
23127,20313
157614,20313
118593,11309
173143,18427
81236,18427
170730,6214
81775,3019
170836,3019
102321,13592
26404,13592
49266,18427
152378,18427
174182,7902
67768,13592
79384,13592
120213,6214
78470,7862
155061,6214
187073,6214
80732,11309
168769,21982
87091,4740
112534,4740
149593,5963
100813,11309
42923,14750
42923,17591
42923,5963
42923,7986
42923,3089
24378,13592
186624,13592
157486,5963
152493,13592
64380,13592
45078,5963
45078,3089
170564,5963
35261,15204
35261,6214
106881,15204
106881,6214
81806,17591
81806,5963
81806,3089
56304,4740
62313,11247
62313,3062
77239,5963
27249,17591
27249,5963
27249,3089
26479,4740
83179,4740
25768,4740
113464,4740
54558,4740
91240,4740
44403,4740
96415,4740
63941,4740
44252,4740
146256,4740
185300,4740
40950,4740
23724,5963
23724,3089
43209,15404
99181,15404
33081,15404
89542,15404
167332,15404
142383,15404
130690,4740
75375,4740
38841,4740
89731,4740
103069,4740
169980,4740
71129,15404
118026,15404
168009,4740
128223,4740
118266,3019
92796,6024
69998,3999
95057,6214
171946,15099
115755,6210
115755,6024
121589,15099
34145,3999
123090,6214
149999,6214
163824,3019
34239,3999
53274,6210
152013,3999
136738,3999
99550,19151
67465,6214
168690,6214
106426,3999
147834,6214
151790,6214
49740,6214
150003,6214
82253,16093
45977,16093
58057,6214
104487,3019
158055,16093
79002,16093
160477,16093
131101,16093
87290,16093
72739,16093
174293,16093
75270,16093
130863,16093
120416,16093
23511,16132
65735,10362
75316,16132
31358,16132
62139,11078
84050,12027
84050,15517
84050,11078
56994,12027
56994,15517
56994,11078
149258,16132
143920,12027
143920,15517
143920,11078
84384,15517
84384,11078
91788,4354
72885,17271
72885,13643
72885,19779
94566,21060
149509,12027
149509,15517
149509,11078
41303,12027
41303,15517
41303,11078
23405,12027
23405,15517
23405,11078
41715,21060
77690,546
77690,21060
76780,17271
76780,13643
76780,19779
153624,9284
112441,8801
90750,12016
142061,17271
142061,13643
142061,19779
172488,9284
29809,9284
56532,12016
174110,1742
98601,17271
98601,13643
98601,9284
98601,19779
50675,8801
32341,1742
38618,1742
183814,15517
103580,15517
169081,15517
94083,750
141876,3999
81478,10362
114628,3999
138597,12027
140173,768
81364,11979
81364,15186
101923,768
73554,8801
73554,15099
73554,2589
144567,8801
144567,2589
88027,6682
123789,6682
94728,6682
64221,6682
116037,6682
115490,6682
163765,6682
152352,6682
161864,6682
177390,6682
111552,7454
145667,6682
177367,6210
40568,12858
40568,6024
151969,12858
23606,10879
23606,6682
125002,6682
40747,5431
40747,12858
40747,21982
31275,6682
74059,6682
142889,6682
133915,6682
184927,7454
144341,16297
89360,7454
182555,7454
129445,768
129445,14268
48074,14268
76669,16297
164874,7454
95379,19689
182580,14268
36054,5962
36054,768
36054,14268
120584,8801
41258,8801
98895,19689
33360,5962
33360,768
33360,14268
132230,8801
124796,16297
70932,5962
70932,768
70932,14268
183342,5962
183342,768
183342,14268
26618,14268
56100,768
56100,14268
119197,4354
23576,17214
126826,15517
126826,11078
152426,15517
152426,11078
87872,15517
87872,11078
127886,15517
127886,11078
154479,15517
154479,11078
72410,4354
114390,4410
114390,3999
51239,15517
51239,11078
35659,15517
35659,11078
39523,10879
37802,15517
37802,11078
132003,10879
95170,10879
56461,3019
56461,13592
175072,3019
175072,13592
133254,3019
133254,13592
105669,3019
105669,13592
144272,17591
57861,3019
57861,13592
154845,12027
154845,15517
154845,11078
122497,12027
122497,15517
122497,11078
109857,3019
109857,13592
39888,17591
40575,11078
62974,5963
146525,750
86555,15517
141942,15517
141942,11078
86027,15517
86027,11078
44733,3019
44733,13592
103079,3019
103079,13592
120963,12016
61320,17591
125717,17591
157540,3019
157540,13592
138275,3019
138275,13592
27410,3019
27410,13592
139124,3019
139124,13592
104651,3019
104651,13592
65457,17591
112161,17591
112161,14538
83138,17591
73000,17591
75229,17591
28725,17591
102660,17591
169443,17591
164050,17591
111741,12016
55033,12016
71855,17497
71855,12016
152265,17591
22674,17591
163416,9927
44055,9927
183587,10362
116041,20313
116041,7032
56495,17497
56495,12016
181362,17591
181362,14538
50888,9927
122890,19042
180308,3019
180308,13592
82559,3019
82559,13592
24135,9927
81512,17591
81002,17591
108784,9927
98197,3019
98197,13592
72448,17591
120843,17591
149161,3019
149161,13592
40363,17591
144721,17591
182737,5649
96684,5649
162813,5649
109847,5649
122067,10362
168076,6425
179830,9927
45390,4354
73852,9927
180968,17591
180968,3089
112890,5649
115831,5962
120542,15517
33947,17591
139693,10362
160610,13867
158057,5962
117468,5649
100644,5962
50453,5649
159945,5649
178002,13867
46894,4354
112973,4354
43239,8497
27548,8497
121891,4354
33717,4354
48216,5962
144409,3089
91858,3089
160651,3089
182782,17271
182782,13643
182782,19779
38790,3999
68537,15099
68956,17158
68956,5222
65205,5222
69302,6214
107691,6210
69218,6214
163432,6214
139547,6214
130206,6214
103597,6214
110600,3019
51998,14856
51998,6024
51998,259
170671,6214
139889,5649
73817,5649
78185,3999
168485,6214
160960,6214
170193,5649
120793,15517
165263,5649
61482,5649
37836,5649
163307,6906
58925,12490
176045,21204
176045,6906
186312,9927
113961,21204
113961,6906
144138,9927
52098,5649
121370,9927
73308,9927
181457,5649
56221,5649
50728,5649
134341,3019
158681,3019
42445,9927
150599,9927
22419,5649
183988,19326
183988,5649
57594,5649
137930,3019
171622,13592
102906,3019
102906,13592
105094,3019
105094,13592
52252,3019
52252,13592
34725,3019
150785,3019
128578,3019
128578,13592
59997,3019
59997,13592
161266,9927
63122,9927
114036,5649
105010,5649
148815,3019
148815,13592
186761,9927
186749,9927
66261,3019
78847,3019
78847,13592
30940,3019
84063,3019
84063,13592
105612,3019
105612,13592
24633,3019
31603,3019
92786,3019
124925,3019
124925,13592
82632,3019
24683,3019
128671,3019
132810,3019
178151,3019
178151,13592
89458,3019
89458,13592
181005,3019
181005,13592
87625,3019
89084,3019
46717,3019
150481,3019
72695,3019
85696,3019
85696,13592
163406,3019
163406,13592
102970,3019
102970,13592
110950,3019
69278,3019
176199,3019
127162,3019
57622,3019
57622,13592
153711,3019
153711,13592
107749,3019
137518,3019
137518,13592
172255,3019
172255,13592
187403,15482
175123,15482
111838,15482
104975,17591
104975,5963
131958,3019
162562,3019
50480,3019
134253,3019
134253,13592
167693,3019
167693,13592
69703,3019
69703,13592
135243,3019
135243,13592
110853,3019
110853,13592
25901,3019
25901,13592
140274,3019
184317,3019
104488,3019
25920,3019
25920,13592
65709,3019
65709,13592
99019,3019
99019,13592
170340,3019
162683,3019
111098,3019
111098,13592
106909,3019
106909,13592
70896,3019
70896,13592
44228,3019
44228,13592
145000,3019
115005,12963
115005,7470
81148,15482
46050,15482
175439,3019
166844,3019
166844,13592
108174,15482
69034,15482
111207,15482
83527,15482
97425,15482
106643,4354
104449,5963
143341,3019
143341,13592
129672,3019
129672,13592
89100,3019
89100,13592
98908,3019
98908,13592
133845,15482
31010,3019
31010,13592
47813,3019
47813,13592
113340,3019
113340,13592
93970,3019
93970,13592
91797,4354
113750,4354
83845,4354
113678,4354
119619,4354
125449,4354
154463,3019
160910,3019
68820,3019
133514,4354
117086,19042
117086,10884
117086,3678
35673,768
26136,7454
178686,7337
178686,19042
178686,10884
178686,3678
154444,4354
164484,3019
42526,7454
99896,4354
177921,4354
69900,12473
73463,12473
122033,3019
183816,3019
129779,3019
102339,6682
113306,6682
74967,6682
138793,7454
80731,7454
46719,16475
112434,4354
90956,3019
171899,3019
126137,3019
123559,3019
35281,3019
61187,3019
184822,6682
62071,5871
105549,6682
157116,4740
33397,19326
33397,15440
101529,19326
101529,15440
101529,13728
55705,6268
148851,6682
129042,6682
61676,11309
170716,3019
150123,3019
51258,15440
169194,2589
26926,6906
112536,11309
98748,11309
85785,12699
127911,19326
127911,15440
156748,19820
98281,1492
42664,12699
65510,12699
48663,18183
81562,18183
184493,12699
28408,12699
76580,8801
76580,2589
130461,8801
130461,2589
39835,12963
39835,7470
163934,5255
163934,12963
163934,7470
137120,2589
141033,302
90595,302
159385,302
43110,302
104374,2589
152647,8801
152647,2589
120681,8801
120681,2589
59277,15099
35968,12027
35968,15517
35968,11078
171975,12027
171975,15517
171975,11078
94315,6434
77863,7454
114867,21982
150270,21982
38045,8801
38045,2589
131264,15517
128889,12858
128889,21982
36172,8801
91339,18664
91339,14016
78074,2589
94123,8801
94123,2589
176968,8801
176968,15099
176968,2589
50878,8801
50878,2589
84197,8801
35243,8801
32722,2589
64578,7902
118766,7902
108354,8801
164244,15517
181211,8801
181211,2589
162804,8801
162804,2589
146329,2589
84323,8900
69496,8801
162197,8801
143681,8801
96751,8801
127021,8801
127021,2589
153251,2589
132100,4410
60695,8801
60695,2589
106540,8801
39185,6214
111756,8801
111756,2589
174462,4410
56587,8801
105699,12016
84800,8801
94595,14868
94595,7902
95868,6214
82994,12016
66654,7218
165801,7218
159678,12016
129585,6214
108953,6214
36734,17591
36734,11247
116428,17591
116428,14538
120165,14868
120165,7902
100869,6214
113559,6214
179448,17591
179448,11247
179448,14538
179448,3062
41347,17591
41347,11247
41347,14538
41347,3062
74930,11247
150291,6214
66222,7218
74968,7218
67207,17591
67207,3062
102936,17591
102936,11247
102936,3062
51178,3062
167717,6214
45660,3019
119231,3019
118626,3019
117816,3019
135443,3019
136908,21376
136908,6555
164084,10166
118949,3019
136688,3019
59494,3019
44572,3019
103499,3019
90290,7454
108186,4740
164630,15517
158729,4740
48334,4740
65001,3019
135232,8062
28182,15517
28762,7454
52099,16475
52099,10599
165045,16475
130625,7454
130751,7454
137553,7454
155845,16475
155845,10599
181943,16475
68081,6214
176108,2589
95264,15482
131813,16475
27822,16475
27822,10599
172023,15482
177311,16475
121020,19093
43755,16475
43755,10599
182991,15482
54697,2589
45350,2589
42713,15482
36954,15482
124783,15482
163953,8801
163953,2589
45720,15482
63754,15482
83185,15482
63542,15482
103757,15482
48691,19093
103038,21620
103038,14517
153142,14517
102428,14517
167002,14517
167002,12340
35882,14517
35882,12340
151864,12340
118461,14538
86414,5644
179800,6214
62285,3999
126259,4410
126259,3999
94811,3999
159263,3999
116951,3999
63234,3999
174267,6268
71026,3999
92436,3999
165159,6210
71049,3999
48119,6214
151355,3999
24265,3999
122808,3999
83173,3999
96702,3999
144835,3999
167681,3999
36389,3019
93244,3999
143514,13592
173786,16132
82570,16475
119593,15099
111329,10965
32613,8801
78372,15099
26471,8801
111178,8801
111178,2589
93661,13791
100758,15482
176925,8801
126591,17591
106997,17591
129089,17591
170322,2191
170322,14853
133049,8801
44797,2191
44797,14853
157904,2589
53935,2191
53935,14853
162316,8801
162316,2589
120247,259
80432,6214
180196,2191
180196,14853
67808,7454
101713,7454
43748,6024
160597,3999
174517,3999
63857,3999
186959,3999
128254,3999
147626,6214
106176,15099
60604,6214
49510,3999
35111,3999
123103,3999
173407,3999
120536,3999
183600,3999
165767,3019
160799,3019
145832,3019
129892,15099
53930,3019
143725,3999
133562,3019
168514,3019
32795,18664
32795,14016
44648,3019
59811,3019
182146,3999
84679,3999
65309,8801
65309,15099
65309,2589
174591,8801
174591,15099
174591,2589
171597,15099
171597,2589
25911,8801
25911,15099
25911,2589
182698,259
139142,11309
153842,14856
153842,6024
153842,21047
153842,259
62339,15099
62339,2589
115667,259
67197,12858
127843,13592
128153,13592
133863,13592
151784,8801
160320,6268
116026,6268
107515,750
112032,750
166472,6268
116627,750
27262,750
161291,15099
161291,2589
67667,750
103574,750
92594,750
117237,750
135328,8801
135328,15099
135328,2589
123287,6024
59371,15099
101115,17214
154578,17214
117109,17214
128442,17214
76308,17214
149990,8801
149990,2589
185896,8801
185896,15099
185896,2589
72912,8801
72912,15099
72912,2589
124716,6214
25142,8801
25142,2589
77123,1492
150867,6214
152992,12027
152992,11078
81624,8801
81624,15099
81624,2589
179766,8801
179766,2589
186581,8801
186581,2589
148518,15517
148518,11078
101234,1492
114736,1492
170917,22159
51752,5962
51752,14268
174006,5962
174006,14268
168770,5962
168770,1492
168770,14268
85397,5962
85397,14268
112213,6214
109965,5962
109965,1492
109965,14268
157093,6214
120700,6214
166780,10362
166747,3019
44223,6210
44223,6682
54904,11309
171829,11309
108688,7457
131031,1003
176118,11309
73452,16475
142770,7454
140674,12858
107483,7454
159351,7454
81533,7454
176694,7454
39298,7454
159674,20313
47444,20313
176671,20313
117866,4740
121404,20313
136179,20313
155302,7454
35118,7454
35118,16475
89725,7454
89725,16475
62733,7454
62733,16475
71010,4740
81412,7454
81412,16475
109072,18932
155615,7454
155615,16475
41657,7454
41657,16475
148558,20313
184673,7454
184673,16475
178547,6214
113044,6214
41242,20313
85529,6214
145722,259
185847,6214
63827,6214
158207,20313
146062,3019
106290,3019
79582,259
170635,259
27355,259
162073,3019
134805,15517
133353,259
143317,259
65553,3019
155899,5255
82039,2589
170583,8801
170583,2589
155268,15517
54129,15517
144308,15517
52269,5255
117804,5255
50523,5255
115822,768
160245,21047
81970,3019
64604,768
88594,768
57984,5255
162809,15517
70371,15517
116529,8801
151831,6214
29690,768
83638,3999
103434,3999
145366,3999
133480,3999
58958,3999
96553,3999
69097,3999
141500,4740
170549,4740
148363,768
105055,17217
88236,15482
95551,4740
117432,4740
107010,6024
82057,4740
177861,4740
29885,4740
106243,4740
27922,4740
43763,750
133134,4740
112209,15099
86634,4740
128422,4740
69740,4740
122913,4740
107598,4740
58486,4740
153017,4740
166615,9817
96734,6024
187012,4740
70448,4740
25680,4740
169902,4740
25946,4740
28391,4740
174173,4740
141285,4740
174721,4740
138272,4740
158659,4740
24285,4740
175589,4740
184564,4740
79104,4740
112645,4740
117771,4740
29651,10362
81942,4740
54771,4740
115630,4740
170396,4740
81590,4740
165863,4740
41764,4740
46062,4740
97544,2589
127031,4740
109375,9927
72667,4740
61994,4740
103539,11133
123221,4740
67711,4740
75948,4740
136770,4740
30238,8801
159799,4740
119155,4740
71333,4740
62572,4410
62572,3999
137221,6214
121628,11133
178608,4740
147622,4740
85821,3999
73405,4740
56900,4740
185897,3999
72095,4740
155308,4740
36812,3999
114528,3999
33528,3999
25381,3999
113718,4740
183979,3999
154571,4740
169299,4740
120836,8801
128605,8801
128605,15099
128605,2589
110691,4740
28887,4740
95315,11133
91954,4740
62879,6024
163771,3019
37871,3019
186295,8801
60905,8801
82285,4354
87237,3019
158271,8801
144541,8801
81251,750
22854,3019
61335,3019
57063,8801
57063,15099
185751,8801
185751,15099
96697,3019
48088,3019
43138,750
68430,750
44246,7470
180892,7470
80481,7470
103028,7470
84089,7470
41704,10362
124552,3019
60504,15482
25733,750
175990,750
109604,12027
51101,750
102130,12027
98854,10362
184635,6214
106477,6214
104582,6214
170238,6214
96614,750
74896,19802
61500,19802
152874,8497
23117,22030
23117,12699
65117,19802
160105,19802
182279,19802
146598,10362
34761,8497
174592,19802
183567,19802
130213,19802
38939,19802
61281,19802
32607,19802
32840,19802
163211,19802
130467,19802
29754,19802
150030,19802
72477,8497
39532,8062
158416,19802
74799,19802
88496,19802
134095,19802
31693,19802
42557,19802
131243,19802
70549,19802
99799,4354
97689,4354
69174,19802
25623,19802
116226,4354
110505,19045
41754,19802
174660,19802
68435,8062
136613,7457
136613,13138
57669,14517
117631,2441
117631,6934
117631,14517
117631,12340
69649,7797
54770,7797
167886,5255
31112,7797
84443,14517
105140,750
152216,5255
95076,5255
141955,750
125486,5255
50219,1895
138333,12016
182047,10362
44633,10362
54519,10362
174086,750
34961,17591
49700,259
119446,6214
184092,15099
155562,1556
138555,3019
150685,16093
39647,16093
167400,1556
116465,4410
116465,3999
69081,16093
95704,3019
27202,10362
148015,10362
79358,7454
141496,16093
25833,16093
63005,10362
59123,15517
156657,11247
156657,3062
45962,11247
178515,11247
118263,15517
105359,10362
105359,13867
93416,7454
53588,11247
42361,15517
74812,10362
74812,13867
32642,15517
109097,10362
109097,13867
99874,10362
27965,10362
27965,13867
174044,15517
170696,15517
171487,6024
82117,12016
46251,19093
141049,19093
150805,8801
148927,7454
92992,7454
162707,8801
162707,2589
122433,8801
122433,15099
122433,2589
168406,8801
168406,2589
42522,8801
42522,15099
42522,2589
45241,177
107977,8801
37883,12858
121622,8801
182048,20313
149601,20313
63110,10362
161424,6024
172217,20313
31956,12027
31956,15517
103988,15517
181542,15517
39693,15517
122125,15517
56753,1003
24645,3019
23781,3019
157846,14361
157846,10362
148148,14361
148148,13533
148148,10362
148148,13867
148148,21519
148148,2358
148148,18424
148148,8497
172275,22274
142916,22274
163833,3019
71905,14361
71905,13533
71905,7382
71905,10362
71905,21519
71905,17361
71905,8497
71905,21045
141954,3019
138361,7337
138361,19042
138361,10884
138361,3678
30090,3019
61868,3019
87519,7337
87519,19042
87519,10884
87519,3678
116928,19042
116928,10884
114545,10362
41140,6883
41140,15232
41140,21783
41140,11115
41140,17471
41140,6152
88449,6883
88449,15232
88449,21783
88449,11115
88449,17471
88449,6152
53721,5431
53721,21982
97288,8497
126254,8497
42349,2589
151100,4354
27069,4354
155816,5255
80002,5644
51914,8497
141909,5644
50344,5644
140205,5644
35409,8497
70700,5644
24078,5644
134709,13592
44837,5255
111668,15482
157350,15482
103395,15482
22660,5255
141165,5255
154581,15482
154581,9927
47284,15482
91579,5255
66556,15482
160871,15482
120478,5255
45661,15482
105161,15482
125694,15482
121704,15482
41816,5255
73249,5255
58291,15482
118753,15482
41875,15482
157960,15482
118310,15482
92109,15482
180653,15482
179393,15482
139508,8801
129297,10362
113239,15099
58058,3019
58058,13592
135601,7470
116798,12963
60678,16228
60678,20046
60678,16133
92682,13592
54451,3019
54451,13592
48861,4470
154397,7470
149228,3019
54735,21376
130864,8801
130864,2589
186926,20313
186926,12811
37929,18664
51937,10362
165570,11078
44758,15517
69393,15517
69393,11078
82997,15517
82997,11078
119457,17591
163685,17591
163685,3062
187188,11078
138382,11078
24654,8801
169782,15517
169782,11078
133141,10362
177995,15517
47694,15517
47694,11078
161389,15517
51620,11078
182511,10362
79695,17591
79695,3062
140334,19497
31161,19497
120258,10362
152540,10362
38269,11078
29432,8801
29432,2589
184909,10362
48499,10362
147974,10362
166777,3999
40571,3999
58903,3999
24196,2589
46902,8801
46902,2589
140116,8801
140116,2589
60262,20161
177907,3999
71321,3999
39705,3999
184311,3999
158450,3999
147442,3999
179057,3999
132328,17497
132328,12016
115759,8801
130436,8801
58013,8801
81719,12016
56323,7454
103024,7454
177295,17497
177295,12016
85266,6024
50559,3999
88850,3999
150418,17497
150418,12016
87520,12016
102485,3999
184128,3999
91992,12016
38517,12016
34461,3999
99321,12016
33246,7454
149024,8801
82881,3999
92803,3999
82993,3999
49481,3999
150041,17591
150041,3062
127950,17591
127950,5963
127950,11247
127950,3062
134109,3062
118381,5963
118381,3062
116854,3999
103537,3999
50015,3999
90458,3999
120958,3999
107509,3999
80011,3999
92027,3999
62731,3999
150293,3999
179727,3999
147189,3999
112749,3999
36090,3999
102923,6214
39660,6214
79068,6214
35190,6214
167126,3999
77106,6214
165195,6214
130220,6214
154230,6214
46637,6214
140472,6214
152083,6214
57041,3999
168311,3999
83840,3999
57463,3999
53136,12158
128276,15482
134438,10595
63041,6024
63041,10595
27043,11115
113030,12158
113030,6465
146174,19063
177499,12158
73479,10399
80281,15482
89153,19635
180836,10399
116673,15482
105820,6214
122868,6214
133322,6214
76703,6214
157515,6214
25247,6214
143883,6214
23918,6214
123972,6214
129357,6214
130938,6214
173584,6214
54043,6214
56438,21982
81919,6214
73641,6214
126062,11211
89988,21982
187349,12858
135794,18932
161453,9284
113053,10362
99606,21982
85001,10362
85001,13867
85001,2358
88070,10362
88070,13867
88070,2358
149963,10362
163347,2189
29172,17271
29172,9284
116251,3019
131349,3019
66302,6210
47493,3019
144727,3019
143736,3019
29433,3019
172013,3019
94381,3019
187438,3019
126713,3019
29914,3019
105164,3019
156347,15482
116972,3019
25287,3019
142138,3019
44614,3019
180875,3019
179386,3019
82835,3019
67254,3019
86497,3019
46832,3019
173603,3019
133921,3019
74846,13867
124952,3019
138352,3019
94216,3019
169295,3019
41369,3019
40356,3019
114760,3019
34907,3019
120507,3019
59852,3019
124687,3019
48938,3019
76177,3019
51774,3019
139346,3019
137198,10362
164573,10362
185491,10362
29746,10362
169037,10362
96192,8801
176036,8801
176036,2589
28412,8801
178864,6024
44256,7797
74071,9564
83681,8801
41427,10659
92528,6214
128031,6024
45849,6214
137977,10659
162669,10659
33029,6024
187464,92
35757,6024
108320,6024
79624,6024
31172,750
83218,8801
37959,8801
37959,2589
147144,750
96449,8801
122847,6024
23664,6024
70275,750
110939,8801
167030,8801
83231,8801
175040,8801
141881,8801
140426,8801
107960,16475
107960,4048
161611,17591
61396,6024
61396,10879
36662,15482
159015,19042
141282,1492
104810,8801
131942,5962
131942,1492
182948,5962
182948,1492
74303,8801
89996,5962
74013,5962
74013,1492
63454,8497
180079,13867
75373,8497
105109,8497
54617,8497
150906,8497
129414,1492
110336,13867
110336,8497
22487,13867
22487,8497
133179,3019
112585,5962
131238,3019
187113,5962
71884,3019
45902,3019
79131,3019
147646,3019
167139,3019
32355,3019
40686,18427
28093,8497
170343,8497
26576,8497
36776,18427
47885,13867
47885,8497
149053,8497
117365,3019
27326,3019
58337,5962
72570,5962
158047,13867
158047,8497
49065,3019
88763,3019
160917,12016
167086,12016
175311,3019
183436,5962
163251,3019
66918,3019
111971,3019
48596,3019
184267,3019
164475,3019
62582,3019
23027,3019
131282,3019
68919,3019
58452,3019
140849,3019
122578,3019
152591,3019
142436,6214
104038,8801
64291,4517
164421,6514
117710,15517
169458,15517
48619,15517
100765,15517
149610,15517
98446,15517
120040,21761
106212,21761
25444,8497
45400,21761
158366,1425
25198,8801
25198,2589
24936,8497
67017,259
